team_nm,name,max_bat_pts,max_rs,max_bow_pts,max_wkt,named_in_squad,bat_pts,rs,four,six,bat_inn,bow_pts,wkt,bow_inn,i1_named_in_squad,i1_bat_pts,i1_rs,i1_four,i1_six,i1_bowf,i2_bow_pts,i2_wkt,i2_inn,i2_named_in_squad,i2_bat_pts,i2_rs,i2_four,i2_six,i2_bowf,i1_bow_pts,i1_wkt,i1_inn
Punjab Kings,Arshdeep Singh,0.0,,79.0,3.0,5,0.0,0.0,0.0,0.0,0,204.0,8.0,5,4.0,0.0,0.0,0.0,0.0,0.0,179.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0
Punjab Kings,Atharva Taide,-2.0,0.0,0.0,,1,-2.0,0.0,0.0,0.0,1,0.0,0.0,0,,,,,,,,,,1.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Punjab Kings,Harpreet Brar,10.0,8.0,26.0,1.0,5,18.0,15.0,1.0,1.0,3,51.5,2.0,5,4.0,11.0,9.0,0.0,1.0,2.0,25.5,1.0,4.0,1.0,7.0,6.0,1.0,0.0,1.0,26.0,1.0,1.0
Punjab Kings,Harpreet Singh,25.0,22.0,0.0,,1,25.0,22.0,3.0,0.0,1,0.0,0.0,0,,,,,,,,,,1.0,25.0,22.0,3.0,0.0,1.0,0.0,0.0,0.0
Punjab Kings,JM Sharma,31.0,27.0,0.0,,5,94.0,79.0,9.0,3.0,5,0.0,0.0,0,4.0,92.0,77.0,9.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Punjab Kings,K Rabada,0.0,0.0,50.0,2.0,2,-2.0,0.0,0.0,0.0,1,75.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,1.0,-2.0,0.0,0.0,0.0,1.0,50.0,2.0,1.0
Punjab Kings,M Shahrukh Khan,28.0,23.0,0.0,,5,85.0,71.0,6.0,4.0,5,0.0,0.0,0,4.0,57.0,48.0,5.0,2.0,4.0,0.0,0.0,0.0,1.0,28.0,23.0,1.0,2.0,1.0,0.0,0.0,0.0
Punjab Kings,MW Short,48.0,36.0,1.0,0.0,3,94.0,71.0,11.0,2.0,3,1.0,0.0,2,2.0,49.0,37.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,45.0,34.0,5.0,1.0,1.0,1.0,0.0,1.0
Punjab Kings,Mohit Rathee,1.0,1.0,0.0,0.0,1,1.0,1.0,0.0,0.0,1,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,
Punjab Kings,NT Ellis,0.0,0.0,112.0,4.0,3,-2.0,0.0,0.0,0.0,1,137.0,5.0,3,3.0,-2.0,0.0,0.0,0.0,1.0,137.0,5.0,3.0,,,,,,,,,
Punjab Kings,P Simran Singh,85.0,60.0,0.0,,5,115.0,87.0,10.0,5.0,5,0.0,0.0,0,4.0,110.0,83.0,9.0,5.0,4.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
Punjab Kings,PBB Rajapaksa,71.0,50.0,0.0,,3,93.0,71.0,6.0,2.0,3,0.0,0.0,0,3.0,93.0,71.0,6.0,2.0,3.0,0.0,0.0,0.0,,,,,,,,,
Punjab Kings,R Dhawan,1.0,1.0,0.0,0.0,2,1.0,1.0,0.0,0.0,1,0.0,0.0,1,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,
Punjab Kings,RD Chahar,0.0,0.0,25.0,1.0,5,-2.0,0.0,0.0,0.0,1,50.0,2.0,5,4.0,-2.0,0.0,0.0,0.0,1.0,50.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Punjab Kings,S Dhawan,133.0,99.0,0.0,,4,306.0,233.0,29.0,8.0,4,0.0,0.0,0,4.0,306.0,233.0,29.0,8.0,4.0,0.0,0.0,0.0,,,,,,,,,
Punjab Kings,SM Curran,30.0,26.0,79.0,3.0,5,90.0,77.0,5.0,4.0,5,154.0,6.0,5,4.0,83.0,71.0,4.0,4.0,4.0,75.0,3.0,4.0,1.0,7.0,6.0,1.0,0.0,1.0,79.0,3.0,1.0
Punjab Kings,Sikandar Raza,79.0,57.0,25.0,1.0,4,104.0,79.0,5.0,4.0,4,50.0,2.0,3,3.0,25.0,22.0,1.0,1.0,3.0,25.0,1.0,2.0,1.0,79.0,57.0,4.0,3.0,1.0,25.0,1.0,1.0
Royal Challengers Bangalore,Akash Deep,21.0,17.0,25.0,1.0,2,21.0,17.0,2.0,1.0,1,25.0,1.0,2,,,,,,,,,,2.0,21.0,17.0,2.0,1.0,1.0,25.0,1.0,2.0
Royal Challengers Bangalore,Anuj Rawat,16.0,15.0,0.0,,2,17.0,16.0,1.0,0.0,2,0.0,0.0,0,1.0,16.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
