,inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs,state,prevstate,tm,name,fname,battype,bowltype,bowlarm,bowlcat,bowlcat.l2,lpos
0,1,Sunrisers Hyderabad,2,MA Agarwal,1,0,KR Mayers,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,MA Agarwal,Mayank Agarwal,RHB,,,,,
1,1,Sunrisers Hyderabad,1,Anmolpreet Singh,2,0,KR Mayers,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
2,1,Sunrisers Hyderabad,2,MA Agarwal,3,0,KR Mayers,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,MA Agarwal,Mayank Agarwal,RHB,,,,,
3,1,Sunrisers Hyderabad,1,Anmolpreet Singh,4,0,KR Mayers,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
4,1,Sunrisers Hyderabad,1,Anmolpreet Singh,5,0,KR Mayers,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
5,1,Sunrisers Hyderabad,1,Anmolpreet Singh,0,1,JD Unadkat,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
6,1,Sunrisers Hyderabad,1,Anmolpreet Singh,1,1,JD Unadkat,2,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,2,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
7,1,Sunrisers Hyderabad,1,Anmolpreet Singh,2,1,JD Unadkat,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,2,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
8,1,Sunrisers Hyderabad,1,Anmolpreet Singh,3,1,JD Unadkat,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
9,1,Sunrisers Hyderabad,2,MA Agarwal,4,1,JD Unadkat,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,MA Agarwal,Mayank Agarwal,RHB,,,,,
10,1,Sunrisers Hyderabad,1,Anmolpreet Singh,5,1,JD Unadkat,6,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,6,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
11,1,Sunrisers Hyderabad,2,MA Agarwal,0,2,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,6,Sunrisers Hyderabad,MA Agarwal,Mayank Agarwal,RHB,,,,,
12,1,Sunrisers Hyderabad,2,MA Agarwal,1,2,KH Pandya,4,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,4,0,Sunrisers Hyderabad,MA Agarwal,Mayank Agarwal,RHB,,,,,
13,1,Sunrisers Hyderabad,2,MA Agarwal,2,2,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,4,Sunrisers Hyderabad,MA Agarwal,Mayank Agarwal,RHB,,,,,
14,1,Sunrisers Hyderabad,1,Anmolpreet Singh,3,2,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
15,1,Sunrisers Hyderabad,2,MA Agarwal,4,2,KH Pandya,0,1,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,-1,1,Sunrisers Hyderabad,MA Agarwal,Mayank Agarwal,RHB,,,,,
16,1,Sunrisers Hyderabad,3,RA Tripathi,5,2,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,-1,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
17,1,Sunrisers Hyderabad,1,Anmolpreet Singh,0,3,JD Unadkat,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
18,1,Sunrisers Hyderabad,1,Anmolpreet Singh,1,3,JD Unadkat,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
19,1,Sunrisers Hyderabad,3,RA Tripathi,2,3,JD Unadkat,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,1,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
20,1,Sunrisers Hyderabad,3,RA Tripathi,3,3,JD Unadkat,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,0,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
21,1,Sunrisers Hyderabad,3,RA Tripathi,4,3,JD Unadkat,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,0,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
22,1,Sunrisers Hyderabad,1,Anmolpreet Singh,5,3,JD Unadkat,0,0,,0,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
23,1,Sunrisers Hyderabad,1,Anmolpreet Singh,6,3,JD Unadkat,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
24,1,Sunrisers Hyderabad,3,RA Tripathi,0,4,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,0,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
25,1,Sunrisers Hyderabad,3,RA Tripathi,1,4,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,0,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
26,1,Sunrisers Hyderabad,1,Anmolpreet Singh,2,4,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
27,1,Sunrisers Hyderabad,1,Anmolpreet Singh,3,4,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
28,1,Sunrisers Hyderabad,1,Anmolpreet Singh,4,4,KH Pandya,4,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,4,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
29,1,Sunrisers Hyderabad,1,Anmolpreet Singh,5,4,KH Pandya,4,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,4,4,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
30,1,Sunrisers Hyderabad,3,RA Tripathi,0,5,Yash Thakur,4,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,4,4,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
31,1,Sunrisers Hyderabad,3,RA Tripathi,1,5,Yash Thakur,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,4,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
32,1,Sunrisers Hyderabad,1,Anmolpreet Singh,2,5,Yash Thakur,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
33,1,Sunrisers Hyderabad,1,Anmolpreet Singh,3,5,Yash Thakur,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
34,1,Sunrisers Hyderabad,1,Anmolpreet Singh,4,5,Yash Thakur,4,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,4,0,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
35,1,Sunrisers Hyderabad,1,Anmolpreet Singh,5,5,Yash Thakur,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,4,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
36,1,Sunrisers Hyderabad,1,Anmolpreet Singh,0,6,Ravi Bishnoi,1,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
37,1,Sunrisers Hyderabad,3,RA Tripathi,1,6,Ravi Bishnoi,0,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,1,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
38,1,Sunrisers Hyderabad,3,RA Tripathi,2,6,Ravi Bishnoi,1,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,0,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
39,1,Sunrisers Hyderabad,1,Anmolpreet Singh,3,6,Ravi Bishnoi,1,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
40,1,Sunrisers Hyderabad,3,RA Tripathi,4,6,Ravi Bishnoi,1,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
41,1,Sunrisers Hyderabad,1,Anmolpreet Singh,5,6,Ravi Bishnoi,1,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
42,1,Sunrisers Hyderabad,1,Anmolpreet Singh,0,7,KH Pandya,1,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
43,1,Sunrisers Hyderabad,3,RA Tripathi,1,7,KH Pandya,0,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,1,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
44,1,Sunrisers Hyderabad,3,RA Tripathi,2,7,KH Pandya,0,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,0,0,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
45,1,Sunrisers Hyderabad,3,RA Tripathi,3,7,KH Pandya,1,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,0,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
46,1,Sunrisers Hyderabad,1,Anmolpreet Singh,4,7,KH Pandya,0,1,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,-1,1,Sunrisers Hyderabad,Anmolpreet Singh,Anmolpreet Singh,RHB,RAO,Right,Spin,off-break,
47,1,Sunrisers Hyderabad,4,AK Markram,5,7,KH Pandya,0,1,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,-1,-1,Sunrisers Hyderabad,AK Markram,Aiden Markram (c),RHB,RAO,Right,Spin,off-break,
48,1,Sunrisers Hyderabad,3,RA Tripathi,0,8,Ravi Bishnoi,1,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,-1,Sunrisers Hyderabad,RA Tripathi,Rahul Tripathi,RHB,RAM,Right,Pace,medium,
49,1,Sunrisers Hyderabad,5,HC Brook,1,8,Ravi Bishnoi,1,0,,1,0,1,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants,1,1,Sunrisers Hyderabad,HC Brook,Harry Brook,RHB,RAM,Right,Pace,medium,
