,bow,bat,bat_order,b.num,inning,tm_bat,tm_bow,city,date,competition,mtype,tr,wkt,over,fpp,fmid,fdth,inn.num,m.num,m.tbov,tm,tm_abbr,name,fname,battype,bowltype,bowlarm,bowlcat,bowlcat.l2,lpos
0,Mohammed Shami,DP Conway,1,0.1,1st innings,CSK,GT,Ahmedabad,2023-03-31,IPL,T20,0,0,1,1,0,0,1.0,1,111.0,,,,,,,,,,
1,MJ Santner,Shubman Gill,2,7.5,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,4,0,8,0,1,0,2.0,1,128.0,,,,,,,,,,
2,MJ Santner,Shubman Gill,2,7.6,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,1,0,8,0,1,0,2.0,1,128.0,,,,,,,,,,
3,RA Jadeja,Shubman Gill,2,8.1,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,1,0,9,0,1,0,2.0,1,129.0,,,,,,,,,,
4,RA Jadeja,Shubman Gill,2,8.3,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,0,0,9,0,1,0,2.0,1,129.0,,,,,,,,,,
5,RA Jadeja,Shubman Gill,2,8.4,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,2,0,9,0,1,0,2.0,1,129.0,,,,,,,,,,
6,RA Jadeja,Shubman Gill,2,8.5,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,1,0,9,0,1,0,2.0,1,129.0,,,,,,,,,,
7,RS Hangargekar,Shubman Gill,2,9.1,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,1,0,10,0,1,0,2.0,1,130.0,,,,,,,,,,
8,RA Jadeja,Shubman Gill,2,10.3,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,1,0,11,0,1,0,2.0,1,131.0,,,,,,,,,,
9,RA Jadeja,Shubman Gill,2,10.5,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,4,0,11,0,1,0,2.0,1,131.0,,,,,,,,,,
10,RA Jadeja,Shubman Gill,2,10.6,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,6,0,11,0,1,0,2.0,1,131.0,,,,,,,,,,
11,MJ Santner,Shubman Gill,2,11.2,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,1,0,12,0,1,0,2.0,1,132.0,,,,,,,,,,
12,MJ Santner,Shubman Gill,2,11.4,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,1,0,12,0,1,0,2.0,1,132.0,,,,,,,,,,
13,RS Hangargekar,Shubman Gill,2,13.5,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,1,0,14,0,1,0,2.0,1,134.0,,,,,,,,,,
14,RS Hangargekar,Shubman Gill,2,13.8,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,4,0,14,0,1,0,2.0,1,134.0,,,,,,,,,,
15,TU Deshpande,Shubman Gill,2,14.2,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,1,0,15,0,1,0,2.0,1,135.0,,,,,,,,,,
16,TU Deshpande,Shubman Gill,2,14.5,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,6,0,15,0,1,0,2.0,1,135.0,,,,,,,,,,
17,TU Deshpande,Shubman Gill,2,14.6,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,0,1,15,0,1,0,2.0,1,135.0,,,,,,,,,,
18,RS Hangargekar,B Sai Sudharsan,3,3.8,2nd innings,GT,CSK,Ahmedabad,2023-03-31,IPL,T20,4,0,4,1,0,0,2.0,1,124.0,,,,,,,,,,
