bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams,pts_for_fifty,pts_for_hundy,pts_for_ducky,pts_for_4w,pts_for_5w,bow_econ,pts_for_bow_econ,bat_pts,bow_pts,pts_crickpe,pts_for_thrty,pts_for_3w
Chennai Super Kings,Gujarat Titans,1,AT Rayudu,12.0,0.0,1.0,1.0,12.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,14.0,0.0,14.0,0,0
Chennai Super Kings,Gujarat Titans,1,BA Stokes,7.0,1.0,0.0,1.0,6.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,8.0,0.0,8.0,0,0
Chennai Super Kings,Gujarat Titans,1,DP Conway,1.0,0.0,0.0,1.0,6.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,1.0,0.0,1.0,0,0
Chennai Super Kings,Gujarat Titans,1,MJ Santner,1.0,0.0,0.0,0.0,3.0,Chennai Super Kings,Gujarat Titans,2.0,32.0,24.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,8.0,0.0,1.0,0.0,1.0,0,0
Chennai Super Kings,Gujarat Titans,1,MM Ali,23.0,4.0,1.0,1.0,16.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,29.0,0.0,29.0,0,0
Chennai Super Kings,Gujarat Titans,1,MS Dhoni,14.0,1.0,1.0,0.0,7.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,17.0,0.0,17.0,0,0
Chennai Super Kings,Gujarat Titans,1,RA Jadeja,1.0,0.0,0.0,1.0,2.0,Chennai Super Kings,Gujarat Titans,2.0,28.0,24.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,7.0,0.0,1.0,25.0,26.0,0,0
Chennai Super Kings,Gujarat Titans,1,RD Gaikwad,92.0,4.0,9.0,1.0,50.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,8,0,0,0,0,,0.0,126.0,0.0,126.0,4,0
Chennai Super Kings,Gujarat Titans,1,S Dube,19.0,0.0,1.0,1.0,18.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,21.0,0.0,21.0,0,0
,,1,RS Hangargekar,,,,,,Chennai Super Kings,Gujarat Titans,2.0,32.0,24.0,3.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,8.0,0.0,0.0,79.0,79.0,0,4
,,1,TU Deshpande,,,,,,Chennai Super Kings,Gujarat Titans,2.0,49.0,20.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,14.7,0.0,0.0,25.0,25.0,0,0
,,1,DL Chahar,,,,,,Chennai Super Kings,Gujarat Titans,2.0,29.0,24.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,7.25,0.0,0.0,0.0,0.0,0,0
,,2,Mohammed Shami,,,,,,Gujarat Titans,Chennai Super Kings,1.0,28.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,7.0,0.0,0.0,50.0,50.0,0,0
,,2,J Little,,,,,,Gujarat Titans,Chennai Super Kings,1.0,41.0,24.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,10.25,0.0,0.0,25.0,25.0,0,0
,,2,AS Joseph,,,,,,Gujarat Titans,Chennai Super Kings,1.0,33.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,8.25,0.0,0.0,50.0,50.0,0,0
Gujarat Titans,Chennai Super Kings,2,R Tewatia,15.0,1.0,1.0,0.0,14.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,18.0,0.0,18.0,0,0
Gujarat Titans,Chennai Super Kings,2,V Shankar,27.0,2.0,1.0,1.0,21.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,31.0,0.0,31.0,0,0
Gujarat Titans,Chennai Super Kings,2,Shubman Gill,63.0,6.0,3.0,1.0,36.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,8,0,0,0,0,,0.0,87.0,0.0,87.0,4,0
Gujarat Titans,Chennai Super Kings,2,Rashid Khan,10.0,1.0,1.0,0.0,3.0,Gujarat Titans,Chennai Super Kings,1.0,26.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,6.5,0.0,13.0,50.0,63.0,0,0
Gujarat Titans,Chennai Super Kings,2,HH Pandya,8.0,0.0,0.0,1.0,11.0,Gujarat Titans,Chennai Super Kings,1.0,28.0,18.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,9.333333333333334,0.0,8.0,0.0,8.0,0,0
Gujarat Titans,Chennai Super Kings,2,B Sai Sudharsan,22.0,3.0,0.0,1.0,16.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,25.0,0.0,25.0,0,0
Gujarat Titans,Chennai Super Kings,2,WP Saha,25.0,2.0,2.0,1.0,15.0,,,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,,0.0,31.0,0.0,31.0,0,0
,,2,Yash Dayal,,,,,,Gujarat Titans,Chennai Super Kings,1.0,14.0,6.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,0,0,0,0,0,14.0,0.0,0.0,0.0,0.0,0,0
Punjab Kings,Kolkata Knight Riders,1,P Simran Singh,23.0,2.0,2.0,1.0,12.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,0,0,0,0,0,,0.0,29.0,0.0,29.0,0,0
