tm,name,batnum_min,m.num,tr,tbf,tinn,tr_pp,tbf_pp,tout_pp,trc_mid,tbf_mid,tout_mid,trc_dth,tbf_dth,tout_dth,f.cp.pts30,f.cp.pts50,f.cp.pts100,f.cp.pts0,tbb,tbrc,tbwkt,tov,tbrc_powp,tbrc_mid,tbrc_dth,tbwkt_powp,tbwkt_mid,tbwkt_dth,bat_tm,bat,tr.G1,tr.G12,tr.G17,tr.G24,tr.G29,tr.G33,tr.G37,tr.G41,tr.G6,bow_tm,bow,tbwkt.G1,tbwkt.G12,tbwkt.G17,tbwkt.G24,tbwkt.G29,tbwkt.G33,tbwkt.G37,tbwkt.G41,tbwkt.G6
Chennai Super Kings,AM Rahane,2.0,6,224.0,118.0,6.0,73.0,45.0,0.0,56.0,65.0,5.0,14.0,11.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings,AM Rahane,,61.0,31.0,37.0,9.0,71.0,15.0,,,,,,,,,,,,,
Chennai Super Kings,AT Rayudu,4.0,7,83.0,61.0,7.0,0.0,0.0,0.0,40.0,34.0,4.0,54.0,28.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings,AT Rayudu,12.0,20.0,1.0,14.0,9.0,,0.0,,27.0,,,,,,,,,,,
Chennai Super Kings,Akash Singh,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,185.0,5.0,19.0,136.0,27.0,22.0,2.0,1.0,2.0,,,,,,,,,,,,Chennai Super Kings,Akash Singh,,,2.0,1.0,1.0,1.0,0.0,0.0,
Chennai Super Kings,BA Stokes,4.0,2,15.0,14.0,2.0,4.0,1.0,0.0,17.0,10.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings,BA Stokes,7.0,,,,,,,,8.0,Chennai Super Kings,BA Stokes,,,,,,,,,0.0
Chennai Super Kings,D Pretorius,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,4.0,0.0,7.0,17.0,0.0,0.0,0.0,,,,,,,,,,,,Chennai Super Kings,D Pretorius,,0.0,,,,,,,
Chennai Super Kings,DL Chahar,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,89.0,0.0,9.0,49.0,3.0,24.0,0.0,0.0,0.0,,,,,,,,,,,,Chennai Super Kings,DL Chahar,0.0,0.0,,,,,,,0.0
Chennai Super Kings,DP Conway,1.0,9,414.0,286.0,9.0,125.0,135.0,2.0,162.0,139.0,5.0,38.0,18.0,1.0,24.0,40.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings,DP Conway,1.0,0.0,50.0,83.0,77.0,56.0,8.0,92.0,47.0,,,,,,,,,,,
Chennai Super Kings,M Pathirana,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,162.0,7.0,20.0,0.0,77.0,57.0,0.0,0.0,6.0,,,,,,,,,,,,Chennai Super Kings,M Pathirana,,,,2.0,2.0,1.0,1.0,1.0,
Chennai Super Kings,M Theekshana,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,197.0,5.0,24.0,86.0,106.0,2.0,0.0,4.0,0.0,,,,,,,,,,,,Chennai Super Kings,M Theekshana,,,0.0,1.0,1.0,2.0,1.0,0.0,
Chennai Super Kings,MJ Santner,9.0,3,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,72.0,81.0,3.0,12.0,18.0,63.0,0.0,0.0,3.0,0.0,Chennai Super Kings,MJ Santner,1.0,,,,,,,,1.0,Chennai Super Kings,MJ Santner,0.0,2.0,,,,,,,1.0
Chennai Super Kings,MM Ali,3.0,8,107.0,70.0,7.0,18.0,17.0,1.0,56.0,40.0,3.0,33.0,17.0,1.0,0.0,0.0,0.0,0.0,78.0,124.0,7.0,13.0,14.0,108.0,2.0,1.0,5.0,1.0,Chennai Super Kings,MM Ali,23.0,,7.0,19.0,6.0,,23.0,10.0,19.0,Chennai Super Kings,MM Ali,,,1.0,1.0,0.0,1.0,0.0,0.0,4.0
Chennai Super Kings,MS Dhoni,6.0,6,74.0,34.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,36.0,34.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings,MS Dhoni,14.0,,32.0,1.0,,2.0,,13.0,12.0,,,,,,,,,,,
