inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Rajasthan Royals,1,YBK Jaiswal,0,0,KK Ahmed,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,1,0,KK Ahmed,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,2,0,KK Ahmed,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,3,0,KK Ahmed,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,4,0,KK Ahmed,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,5,0,KK Ahmed,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,0,1,A Nortje,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,1,1,A Nortje,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,2,1,A Nortje,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,3,1,A Nortje,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,4,1,A Nortje,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,5,1,A Nortje,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,0,2,Mukesh Kumar,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,1,2,Mukesh Kumar,1,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,2,2,Mukesh Kumar,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,3,2,Mukesh Kumar,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,4,2,Mukesh Kumar,1,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,5,2,Mukesh Kumar,1,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,0,3,KK Ahmed,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,1,3,KK Ahmed,0,0,,0,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,2,3,KK Ahmed,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,3,3,KK Ahmed,1,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,4,3,KK Ahmed,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,5,3,KK Ahmed,1,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,6,3,KK Ahmed,0,0,,0,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,7,3,KK Ahmed,2,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,0,4,AR Patel,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,1,4,AR Patel,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,2,4,AR Patel,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,3,4,AR Patel,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,4,4,AR Patel,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,5,4,AR Patel,1,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,0,5,A Nortje,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,1,5,A Nortje,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,2,5,A Nortje,1,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,3,5,A Nortje,4,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,4,5,A Nortje,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,5,5,A Nortje,0,0,,1,1,0,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,0,6,AR Patel,1,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,1,6,AR Patel,1,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,2,6,AR Patel,0,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,3,6,AR Patel,4,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,4,6,AR Patel,4,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,5,6,AR Patel,1,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,0,7,Kuldeep Yadav,1,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,1,7,Kuldeep Yadav,4,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,2,7,Kuldeep Yadav,1,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,3,7,Kuldeep Yadav,6,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,1,YBK Jaiswal,4,7,Kuldeep Yadav,1,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
1,Rajasthan Royals,2,JC Buttler,5,7,Kuldeep Yadav,4,0,,1,0,1,0,Guwahati,2023-04-08,2023,T20,11,Rajasthan Royals vs Delhi Capitals
