inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Mumbai Indians,1,RG Sharma,0,0,DL Chahar,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,1,0,DL Chahar,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,2,0,DL Chahar,4,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,3,0,DL Chahar,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,4,0,DL Chahar,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,5,0,DL Chahar,4,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,0,1,TU Deshpande,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,1,1,TU Deshpande,0,0,,0,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,2,1,TU Deshpande,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,3,1,TU Deshpande,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,4,1,TU Deshpande,4,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,5,1,TU Deshpande,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,6,1,TU Deshpande,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,0,2,SSB Magala,4,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,1,2,SSB Magala,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,2,2,SSB Magala,4,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,3,2,SSB Magala,4,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,4,2,SSB Magala,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,5,2,SSB Magala,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,0,3,TU Deshpande,6,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,1,3,TU Deshpande,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,2,3,TU Deshpande,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,3,3,TU Deshpande,0,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,4,3,TU Deshpande,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,1,RG Sharma,5,3,TU Deshpande,0,1,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,0,4,MJ Santner,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,1,4,MJ Santner,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,2,4,MJ Santner,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,3,4,MJ Santner,4,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,4,4,MJ Santner,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,5,4,MJ Santner,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,0,5,SSB Magala,2,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,1,5,SSB Magala,4,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,2,5,SSB Magala,4,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,3,5,SSB Magala,2,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,4,5,SSB Magala,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,5,5,SSB Magala,1,0,,1,1,0,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,0,6,RA Jadeja,1,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,1,6,RA Jadeja,1,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,2,6,RA Jadeja,1,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,2,Ishan Kishan,3,6,RA Jadeja,0,1,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,SA Yadav,4,6,RA Jadeja,1,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,5,6,RA Jadeja,1,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,0,7,MJ Santner,1,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,4,SA Yadav,1,7,MJ Santner,0,1,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,Tilak Varma,2,7,MJ Santner,1,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,3,7,MJ Santner,1,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,Tilak Varma,4,7,MJ Santner,4,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,5,Tilak Varma,5,7,MJ Santner,0,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,0,8,RA Jadeja,0,0,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
1,Mumbai Indians,3,C Green,1,8,RA Jadeja,0,1,,1,0,1,0,Mumbai,2023-04-08,2023,T20,12,Mumbai Indians vs Chennai Super Kings
