inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Gujarat Titans,1,WP Saha,0,0,UT Yadav,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,1,0,UT Yadav,1,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,2,Shubman Gill,2,0,UT Yadav,1,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,3,0,UT Yadav,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,4,0,UT Yadav,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,2,Shubman Gill,5,0,UT Yadav,1,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,2,Shubman Gill,0,1,SN Thakur,1,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,1,1,SN Thakur,4,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,2,1,SN Thakur,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,2,Shubman Gill,3,1,SN Thakur,1,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,4,1,SN Thakur,0,0,,0,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,5,1,SN Thakur,1,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,2,Shubman Gill,6,1,SN Thakur,4,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,0,2,UT Yadav,1,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,2,Shubman Gill,1,2,UT Yadav,1,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,2,2,UT Yadav,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,3,2,UT Yadav,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,4,2,UT Yadav,0,0,,0,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,5,2,UT Yadav,4,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,6,2,UT Yadav,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,2,Shubman Gill,0,3,LH Ferguson,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,2,Shubman Gill,1,3,LH Ferguson,1,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,2,3,LH Ferguson,4,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,3,3,LH Ferguson,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,4,3,LH Ferguson,0,0,,0,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,1,WP Saha,5,3,LH Ferguson,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
1,Gujarat Titans,2,Shubman Gill,6,3,LH Ferguson,0,0,,1,1,0,0,Ahmedabad,2023-04-09,2023,T20,13,Gujarat Titans vs Kolkata Knight Riders
