inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Punjab Kings,1,P Simran Singh,0,0,B Kumar,0,1,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,2,MW Short,1,0,B Kumar,0,0,,0,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,2,MW Short,2,0,B Kumar,1,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,3,S Dhawan,3,0,B Kumar,0,0,,0,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,3,S Dhawan,4,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,3,S Dhawan,5,0,B Kumar,2,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,3,S Dhawan,6,0,B Kumar,4,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,3,S Dhawan,7,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,2,MW Short,0,1,M Jansen,0,0,,0,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,2,MW Short,1,1,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,2,MW Short,2,1,M Jansen,0,1,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,4,JM Sharma,3,1,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,4,JM Sharma,4,1,M Jansen,4,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,4,JM Sharma,5,1,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,4,JM Sharma,6,1,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,3,S Dhawan,0,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
1,Punjab Kings,3,S Dhawan,1,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-09,2023,T20,14,Punjab Kings vs Sunrisers Hyderabad
