inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Delhi Capitals,1,DA Warner,0,0,JP Behrendorff,0,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,1,DA Warner,1,0,JP Behrendorff,1,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,2,PP Shaw,2,0,JP Behrendorff,4,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,2,PP Shaw,3,0,JP Behrendorff,1,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,1,DA Warner,4,0,JP Behrendorff,0,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,1,DA Warner,5,0,JP Behrendorff,1,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,1,DA Warner,0,1,Arshad Khan,4,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,1,DA Warner,1,1,Arshad Khan,0,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,1,DA Warner,2,1,Arshad Khan,1,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,2,PP Shaw,3,1,Arshad Khan,0,0,,0,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
1,Delhi Capitals,2,PP Shaw,4,1,Arshad Khan,1,0,,1,1,0,0,Delhi,2023-04-11,2023,T20,16,Delhi Capitals vs Mumbai Indians
