inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Rajasthan Royals,1,YBK Jaiswal,0,0,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,1,0,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,2,0,Akash Singh,4,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,3,0,Akash Singh,4,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,4,0,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,5,0,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,1,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,1,1,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,2,1,TU Deshpande,2,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,3,1,TU Deshpande,0,1,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,4,1,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,5,1,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,0,2,M Theekshana,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,1,2,M Theekshana,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,2,2,M Theekshana,4,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,3,2,M Theekshana,4,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,4,2,M Theekshana,0,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,5,2,M Theekshana,0,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,3,Akash Singh,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,1,3,Akash Singh,2,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,2,3,Akash Singh,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,3,3,Akash Singh,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,4,3,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,5,3,Akash Singh,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,0,4,M Theekshana,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,1,4,M Theekshana,6,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,2,4,M Theekshana,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,3,4,M Theekshana,4,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,4,4,M Theekshana,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,5,4,M Theekshana,4,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,0,5,TU Deshpande,4,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,1,5,TU Deshpande,4,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,2,5,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,3,5,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,4,5,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,5,5,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,6,RA Jadeja,0,0,,0,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,1,6,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,2,6,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,3,6,RA Jadeja,0,0,,0,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,4,6,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,5,6,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,6,6,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,7,6,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,7,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,1,7,MM Ali,3,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,2,7,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,3,7,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,4,7,MM Ali,6,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,5,7,MM Ali,6,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,0,8,RA Jadeja,2,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,1,8,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,3,D Padikkal,2,8,RA Jadeja,0,1,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,4,SV Samson,3,8,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,4,SV Samson,4,8,RA Jadeja,0,1,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,5,R Ashwin,5,8,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,9,SSB Magala,2,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,1,9,SSB Magala,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,5,R Ashwin,2,9,SSB Magala,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,3,9,SSB Magala,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,5,R Ashwin,4,9,SSB Magala,0,0,,0,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,5,R Ashwin,5,9,SSB Magala,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,5,R Ashwin,6,9,SSB Magala,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,5,R Ashwin,0,10,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,5,R Ashwin,1,10,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,5,R Ashwin,2,10,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,3,10,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,4,10,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,5,R Ashwin,5,10,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,11,SSB Magala,0,0,,1,0,1,0,Chennai,2023-04-12,2023,T20,17,Rajasthan Royals vs Chennai Super Kings
