inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Punjab Kings,1,P Simran Singh,0,0,Mohammed Shami,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,1,P Simran Singh,1,0,Mohammed Shami,0,1,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,2,0,Mohammed Shami,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,3,0,Mohammed Shami,4,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,4,0,Mohammed Shami,4,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,5,0,Mohammed Shami,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,3,S Dhawan,0,1,J Little,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,3,S Dhawan,1,1,J Little,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,3,S Dhawan,2,1,J Little,4,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,3,S Dhawan,3,1,J Little,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,3,S Dhawan,4,1,J Little,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,3,S Dhawan,5,1,J Little,4,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,0,2,Mohammed Shami,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,1,2,Mohammed Shami,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,2,2,Mohammed Shami,0,0,,0,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,3,2,Mohammed Shami,2,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,4,2,Mohammed Shami,4,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,5,2,Mohammed Shami,4,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,2,MW Short,6,2,Mohammed Shami,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,3,S Dhawan,0,3,J Little,0,0,,0,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,3,S Dhawan,1,3,J Little,0,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,3,S Dhawan,2,3,J Little,0,1,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
1,Punjab Kings,4,PBB Rajapaksa,3,3,J Little,1,0,,1,1,0,0,Chandigarh,2023-04-13,2023,T20,18,Punjab Kings vs Gujarat Titans
