inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Sunrisers Hyderabad,1,HC Brook,0,0,UT Yadav,4,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,1,0,UT Yadav,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,2,0,UT Yadav,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,3,0,UT Yadav,4,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,4,0,UT Yadav,4,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,5,0,UT Yadav,0,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,0,1,LH Ferguson,3,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,1,1,LH Ferguson,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,2,1,LH Ferguson,0,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,3,1,LH Ferguson,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,4,1,LH Ferguson,0,0,,0,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,5,1,LH Ferguson,4,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,6,1,LH Ferguson,0,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,0,2,UT Yadav,0,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,1,2,UT Yadav,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,2,2,UT Yadav,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,3,2,UT Yadav,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,4,2,UT Yadav,6,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,5,2,UT Yadav,6,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,0,3,SP Narine,0,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,1,3,SP Narine,0,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,2,3,SP Narine,0,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,3,3,SP Narine,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,4,3,SP Narine,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,5,3,SP Narine,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,2,MA Agarwal,0,4,AD Russell,0,1,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,3,RA Tripathi,1,4,AD Russell,4,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,3,RA Tripathi,2,4,AD Russell,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,3,4,AD Russell,0,0,,0,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,4,4,AD Russell,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,3,RA Tripathi,5,4,AD Russell,4,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,3,RA Tripathi,6,4,AD Russell,0,1,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,0,5,CV Varun,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,1,5,CV Varun,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,2,5,CV Varun,0,0,,0,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,3,5,CV Varun,0,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,4,5,CV Varun,4,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,5,5,CV Varun,1,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,6,5,CV Varun,0,0,,1,1,0,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,0,6,AD Russell,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,1,6,AD Russell,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,2,6,AD Russell,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,3,6,AD Russell,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,4,6,AD Russell,6,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,5,6,AD Russell,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,0,7,CV Varun,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,1,7,CV Varun,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,2,7,CV Varun,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,3,7,CV Varun,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,4,7,CV Varun,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,5,7,CV Varun,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,0,8,SP Narine,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,1,8,SP Narine,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,2,8,SP Narine,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,3,8,SP Narine,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,4,8,SP Narine,0,0,,0,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,5,8,SP Narine,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,6,8,SP Narine,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,0,9,Suyash Sharma,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,1,9,Suyash Sharma,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,2,9,Suyash Sharma,2,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,3,9,Suyash Sharma,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,4,9,Suyash Sharma,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,5,9,Suyash Sharma,6,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,0,10,SP Narine,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,1,10,SP Narine,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,2,10,SP Narine,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,3,10,SP Narine,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,4,10,SP Narine,2,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,5,10,SP Narine,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,0,11,Suyash Sharma,6,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,1,11,Suyash Sharma,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,2,11,Suyash Sharma,6,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,3,11,Suyash Sharma,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,4,11,Suyash Sharma,4,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,5,11,Suyash Sharma,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,0,12,CV Varun,2,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,1,12,CV Varun,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,2,12,CV Varun,4,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,3,12,CV Varun,6,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,4,AK Markram,4,12,CV Varun,0,1,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,5,Abhishek Sharma,5,12,CV Varun,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,5,Abhishek Sharma,0,13,Suyash Sharma,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,5,Abhishek Sharma,1,13,Suyash Sharma,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,2,13,Suyash Sharma,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,5,Abhishek Sharma,3,13,Suyash Sharma,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,5,Abhishek Sharma,4,13,Suyash Sharma,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,5,13,Suyash Sharma,1,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,0,14,LH Ferguson,6,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,1,14,LH Ferguson,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,2,14,LH Ferguson,4,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,3,14,LH Ferguson,4,0,,0,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,4,14,LH Ferguson,4,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
1,Sunrisers Hyderabad,1,HC Brook,5,14,LH Ferguson,0,0,,1,0,1,0,Kolkata,2023-04-14,2023,T20,19,Sunrisers Hyderabad vs Kolkata Knight Riders
