inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,0,0,Arjun Tendulkar,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,1,0,Arjun Tendulkar,2,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,2,0,Arjun Tendulkar,1,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,2,N Jagadeesan,3,0,Arjun Tendulkar,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,4,0,Arjun Tendulkar,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,5,0,Arjun Tendulkar,1,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,0,1,C Green,1,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,2,N Jagadeesan,1,1,C Green,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,2,N Jagadeesan,2,1,C Green,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,2,N Jagadeesan,3,1,C Green,0,0,,0,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,2,N Jagadeesan,4,1,C Green,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,2,N Jagadeesan,5,1,C Green,0,1,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,6,1,C Green,1,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,0,2,Arjun Tendulkar,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,1,2,Arjun Tendulkar,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,2,2,Arjun Tendulkar,0,0,,0,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,3,2,Arjun Tendulkar,2,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,4,2,Arjun Tendulkar,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,5,2,Arjun Tendulkar,4,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,6,2,Arjun Tendulkar,6,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,0,3,C Green,0,0,,0,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,1,3,C Green,1,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,2,3,C Green,6,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,3,3,C Green,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,4,3,C Green,4,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,3,VR Iyer,5,3,C Green,1,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,6,3,C Green,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,0,4,D Jansen,0,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
1,Kolkata Knight Riders,1,Rahmanullah Gurbaz,1,4,D Jansen,1,0,,1,1,0,0,Mumbai,2023-04-16,2023,T20,22,Kolkata Knight Riders vs Mumbai Indians
