inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Chennai Super Kings,1,RD Gaikwad,0,0,Mohammed Siraj,1,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,2,DP Conway,1,0,Mohammed Siraj,2,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,2,DP Conway,2,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,2,DP Conway,3,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,2,DP Conway,4,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,2,DP Conway,5,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,1,RD Gaikwad,0,1,WD Parnell,0,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,1,RD Gaikwad,1,1,WD Parnell,1,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,2,DP Conway,2,1,WD Parnell,4,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,2,DP Conway,3,1,WD Parnell,1,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,1,RD Gaikwad,4,1,WD Parnell,1,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,2,DP Conway,5,1,WD Parnell,6,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,1,RD Gaikwad,0,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,1,RD Gaikwad,1,2,Mohammed Siraj,0,1,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,3,AM Rahane,2,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,3,AM Rahane,3,2,Mohammed Siraj,1,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,2,DP Conway,4,2,Mohammed Siraj,1,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
1,Chennai Super Kings,3,AM Rahane,5,2,Mohammed Siraj,1,0,,1,1,0,0,Bengaluru,2023-04-17,2023,T20,24,Chennai Super Kings vs Royal Challengers Bangalore
