inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Lucknow Super Giants,1,KL Rahul,0,0,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,1,0,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,2,0,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,3,0,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,4,0,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,5,0,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,0,1,Sandeep Sharma,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,1,1,Sandeep Sharma,4,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,2,1,Sandeep Sharma,0,0,,0,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,3,1,Sandeep Sharma,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,4,1,Sandeep Sharma,1,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,5,1,Sandeep Sharma,2,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,6,1,Sandeep Sharma,4,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,0,2,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,1,2,TA Boult,2,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,2,2,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,3,2,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,4,2,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,5,2,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,0,3,Sandeep Sharma,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,1,3,Sandeep Sharma,1,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,2,3,Sandeep Sharma,1,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,3,3,Sandeep Sharma,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,4,3,Sandeep Sharma,1,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,5,3,Sandeep Sharma,1,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,0,4,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,1,4,TA Boult,6,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,2,4,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,3,4,TA Boult,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,4,4,TA Boult,4,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,5,4,TA Boult,2,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,2,KR Mayers,0,5,R Ashwin,1,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,1,5,R Ashwin,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,2,5,R Ashwin,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
1,Lucknow Super Giants,1,KL Rahul,3,5,R Ashwin,0,0,,1,1,0,0,Jaipur,2023-04-19,2023,T20,26,Lucknow Super Giants vs Rajasthan Royals
