inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Sunrisers Hyderabad,1,HC Brook,0,0,Akash Singh,1,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,1,0,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,2,0,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,3,0,Akash Singh,1,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,4,0,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,5,0,Akash Singh,4,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,0,1,TU Deshpande,0,0,,0,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,1,1,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,2,1,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,3,1,TU Deshpande,2,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,4,1,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,5,1,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,6,1,TU Deshpande,4,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,0,2,Akash Singh,2,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,1,2,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,2,2,Akash Singh,1,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,3,2,Akash Singh,6,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,4,2,Akash Singh,1,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,5,2,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,0,3,TU Deshpande,1,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,1,3,TU Deshpande,2,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,2,3,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,3,3,TU Deshpande,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,4,3,TU Deshpande,4,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,5,3,TU Deshpande,4,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,0,4,Akash Singh,1,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,1,HC Brook,1,4,Akash Singh,0,1,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,2,4,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,3,4,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,4,4,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,5,4,Akash Singh,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,0,5,M Theekshana,1,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,1,5,M Theekshana,0,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,2,5,M Theekshana,2,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,3,5,M Theekshana,1,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,4,5,M Theekshana,1,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,5,5,M Theekshana,4,0,,1,1,0,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,0,6,MM Ali,6,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,1,6,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,2,6,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,3,6,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,4,6,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,5,6,MM Ali,0,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,0,7,RA Jadeja,4,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,1,7,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,2,7,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,3,7,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,4,7,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,5,7,RA Jadeja,0,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,0,8,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,1,8,MM Ali,0,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,2,8,MM Ali,4,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,3,8,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,4,8,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,5,8,MM Ali,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,0,9,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,2,Abhishek Sharma,1,9,RA Jadeja,0,1,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,4,AK Markram,2,9,RA Jadeja,1,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
1,Sunrisers Hyderabad,3,RA Tripathi,3,9,RA Jadeja,2,0,,1,0,1,0,Chennai,2023-04-21,2023,T20,29,Sunrisers Hyderabad vs Chennai Super Kings
