inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Punjab Kings,1,P Simran Singh,0,0,UT Yadav,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,1,0,UT Yadav,2,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,2,0,UT Yadav,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,3,0,UT Yadav,6,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,4,0,UT Yadav,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,5,0,UT Yadav,1,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,0,1,TG Southee,4,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,1,1,TG Southee,4,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,2,1,TG Southee,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,3,1,TG Southee,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,4,1,TG Southee,6,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,1,P Simran Singh,5,1,TG Southee,0,1,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,0,2,UT Yadav,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,1,2,UT Yadav,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,2,2,UT Yadav,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,3,2,UT Yadav,1,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,4,2,UT Yadav,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,5,2,UT Yadav,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,0,3,TG Southee,4,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,1,3,TG Southee,4,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,2,3,TG Southee,1,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,3,3,TG Southee,2,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,4,3,TG Southee,1,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,5,3,TG Southee,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,0,4,SP Narine,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,1,4,SP Narine,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,2,4,SP Narine,4,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,3,4,SP Narine,4,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,4,4,SP Narine,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,5,4,SP Narine,6,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,0,5,CV Varun,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,1,5,CV Varun,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,2,5,CV Varun,1,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,3,5,CV Varun,0,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,4,5,CV Varun,1,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,5,5,CV Varun,4,0,,1,1,0,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,0,6,SN Thakur,2,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,1,6,SN Thakur,4,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,2,6,SN Thakur,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,3,6,SN Thakur,6,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,4,6,SN Thakur,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,5,6,SN Thakur,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,0,7,SP Narine,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,1,7,SP Narine,2,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,2,7,SP Narine,4,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,3,7,SP Narine,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,4,7,SP Narine,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,5,7,SP Narine,2,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,0,8,SN Thakur,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,1,8,SN Thakur,4,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,2,8,SN Thakur,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,3,8,SN Thakur,4,0,,0,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,4,8,SN Thakur,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,5,8,SN Thakur,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,6,8,SN Thakur,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,0,9,CV Varun,4,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,1,9,CV Varun,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,2,9,CV Varun,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,3,9,CV Varun,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,4,9,CV Varun,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,5,9,CV Varun,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,0,10,UT Yadav,4,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,1,10,UT Yadav,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,2,10,UT Yadav,2,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,3,10,UT Yadav,2,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,4,10,UT Yadav,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,3,PBB Rajapaksa,5,10,UT Yadav,0,1,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,0,11,SP Narine,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,1,11,SP Narine,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,2,11,SP Narine,0,0,,0,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,3,11,SP Narine,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,4,11,SP Narine,2,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,5,11,SP Narine,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,6,11,SP Narine,6,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,0,12,UT Yadav,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,1,12,UT Yadav,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,2,12,UT Yadav,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,2,S Dhawan,3,12,UT Yadav,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,4,12,UT Yadav,4,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,5,12,UT Yadav,1,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,0,13,TG Southee,0,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,1,13,TG Southee,6,0,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
1,Punjab Kings,4,JM Sharma,2,13,TG Southee,0,1,,1,0,1,0,Chandigarh,2023-04-01,2023,T20,2,Punjab Kings vs Kolkata Knight Riders
