inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Chennai Super Kings,1,RD Gaikwad,0,0,UT Yadav,4,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,1,0,UT Yadav,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,2,0,UT Yadav,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,3,0,UT Yadav,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,4,0,UT Yadav,1,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,5,0,UT Yadav,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,0,1,D Wiese,1,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,1,1,D Wiese,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,2,1,D Wiese,1,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,3,1,D Wiese,1,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,4,1,D Wiese,6,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,5,1,D Wiese,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,0,2,UT Yadav,1,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,1,2,UT Yadav,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,2,2,UT Yadav,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,3,2,UT Yadav,1,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,4,2,UT Yadav,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,5,2,UT Yadav,6,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,0,3,CV Varun,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,1,3,CV Varun,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,2,3,CV Varun,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,3,3,CV Varun,2,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,4,3,CV Varun,6,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,5,3,CV Varun,1,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,0,4,D Wiese,4,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,1,4,D Wiese,2,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,2,4,D Wiese,4,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,3,4,D Wiese,2,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,4,4,D Wiese,2,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,5,4,D Wiese,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,0,5,K Khejroliya,1,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,1,5,K Khejroliya,4,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,2,5,K Khejroliya,1,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,3,5,K Khejroliya,6,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,4,5,K Khejroliya,2,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,5,5,K Khejroliya,0,0,,1,1,0,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,0,6,SP Narine,1,0,,1,0,1,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,1,6,SP Narine,0,0,,1,0,1,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,2,6,SP Narine,2,0,,1,0,1,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,3,6,SP Narine,0,0,,1,0,1,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,4,6,SP Narine,4,0,,1,0,1,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,1,RD Gaikwad,5,6,SP Narine,6,0,,1,0,1,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,0,7,Suyash Sharma,0,0,,1,0,1,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
1,Chennai Super Kings,2,DP Conway,1,7,Suyash Sharma,1,0,,1,0,1,0,Kolkata,2023-04-23,2023,T20,33,Chennai Super Kings vs Kolkata Knight Riders
