inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Kolkata Knight Riders,1,JJ Roy,0,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,1,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,2,0,Mohammed Siraj,4,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,3,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,4,0,Mohammed Siraj,4,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,5,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,0,1,DJ Willey,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,1,1,DJ Willey,4,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,2,1,DJ Willey,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,3,1,DJ Willey,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,4,1,DJ Willey,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,5,1,DJ Willey,1,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,0,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,1,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,2,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,3,2,Mohammed Siraj,1,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,4,2,Mohammed Siraj,4,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,5,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,0,3,DJ Willey,4,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,1,3,DJ Willey,0,0,,0,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,2,3,DJ Willey,4,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,3,3,DJ Willey,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,4,3,DJ Willey,1,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,5,3,DJ Willey,6,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,6,3,DJ Willey,1,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,0,4,PWH de Silva,1,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,2,N Jagadeesan,1,4,PWH de Silva,1,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,2,4,PWH de Silva,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,3,4,PWH de Silva,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,4,4,PWH de Silva,0,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
1,Kolkata Knight Riders,1,JJ Roy,5,4,PWH de Silva,4,0,,1,1,0,0,Bengaluru,2023-04-26,2023,T20,36,Kolkata Knight Riders vs Royal Challengers Bangalore
