inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Lucknow Super Giants,1,KL Rahul,0,0,Gurnoor Brar,1,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,1,0,Gurnoor Brar,1,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,2,0,Gurnoor Brar,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,3,0,Gurnoor Brar,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,4,0,Gurnoor Brar,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,5,0,Gurnoor Brar,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,0,1,Arshdeep Singh,4,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,1,1,Arshdeep Singh,0,0,,0,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,2,1,Arshdeep Singh,4,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,3,1,Arshdeep Singh,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,4,1,Arshdeep Singh,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,5,1,Arshdeep Singh,4,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,6,1,Arshdeep Singh,4,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,0,2,Gurnoor Brar,4,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,1,2,Gurnoor Brar,1,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,2,2,Gurnoor Brar,0,0,,0,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,3,2,Gurnoor Brar,6,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,4,2,Gurnoor Brar,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,5,2,Gurnoor Brar,4,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,6,2,Gurnoor Brar,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,0,3,K Rabada,6,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,1,3,K Rabada,0,1,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,3,A Badoni,2,3,K Rabada,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,3,A Badoni,3,3,K Rabada,0,0,,1,1,0,0,Chandigarh,2023-04-28,2023,T20,38,Lucknow Super Giants vs Punjab Kings
