inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Kolkata Knight Riders,1,N Jagadeesan,0,0,Mohammed Shami,0,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,1,0,Mohammed Shami,0,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,2,0,Mohammed Shami,0,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,3,0,Mohammed Shami,0,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,4,0,Mohammed Shami,1,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,2,Rahmanullah Gurbaz,5,0,Mohammed Shami,2,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,0,1,HH Pandya,0,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,1,1,HH Pandya,4,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,2,1,HH Pandya,0,0,,0,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,3,1,HH Pandya,0,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,4,1,HH Pandya,4,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,5,1,HH Pandya,0,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
1,Kolkata Knight Riders,1,N Jagadeesan,6,1,HH Pandya,4,0,,1,1,0,0,Kolkata,2023-04-29,2023,T20,39,Kolkata Knight Riders vs Gujarat Titans
