inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Chennai Super Kings,1,RD Gaikwad,0,0,Arshdeep Singh,0,0,,0,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,1,0,Arshdeep Singh,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,2,0,Arshdeep Singh,4,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,3,0,Arshdeep Singh,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,4,0,Arshdeep Singh,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,5,0,Arshdeep Singh,0,0,,0,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,6,0,Arshdeep Singh,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,7,0,Arshdeep Singh,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,0,1,K Rabada,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,1,1,K Rabada,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,2,1,K Rabada,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,3,1,K Rabada,4,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,4,1,K Rabada,4,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,5,1,K Rabada,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,0,2,Arshdeep Singh,4,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,1,2,Arshdeep Singh,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,2,2,Arshdeep Singh,4,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,3,2,Arshdeep Singh,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,4,2,Arshdeep Singh,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,5,2,Arshdeep Singh,4,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,0,3,SM Curran,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,1,3,SM Curran,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,2,3,SM Curran,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,3,3,SM Curran,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,4,3,SM Curran,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,5,3,SM Curran,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,0,4,RD Chahar,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,1,4,RD Chahar,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,2,4,RD Chahar,0,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,3,4,RD Chahar,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,4,4,RD Chahar,6,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,5,4,RD Chahar,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,0,5,SM Curran,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,1,5,SM Curran,4,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,2,5,SM Curran,4,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,3,5,SM Curran,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,4,5,SM Curran,0,0,,0,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,5,5,SM Curran,4,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,6,5,SM Curran,1,0,,1,1,0,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,0,6,RD Chahar,1,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,1,6,RD Chahar,1,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,2,6,RD Chahar,1,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,3,6,RD Chahar,0,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,4,6,RD Chahar,1,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,5,6,RD Chahar,1,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,0,7,Sikandar Raza,0,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,1,7,Sikandar Raza,1,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,2,7,Sikandar Raza,4,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,3,7,Sikandar Raza,0,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,4,7,Sikandar Raza,0,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,5,7,Sikandar Raza,0,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,1,RD Gaikwad,0,8,RD Chahar,1,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,1,8,RD Chahar,6,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
1,Chennai Super Kings,2,DP Conway,2,8,RD Chahar,1,0,,1,0,1,0,Chennai,2023-04-30,2023,T20,41,Chennai Super Kings vs Punjab Kings
