inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Rajasthan Royals,1,YBK Jaiswal,0,0,C Green,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,1,0,C Green,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,2,0,C Green,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,3,0,C Green,6,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,4,0,C Green,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,5,0,C Green,0,0,,0,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,2,JC Buttler,6,0,C Green,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,0,1,JC Archer,2,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,1,1,JC Archer,6,0,,0,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,2,1,JC Archer,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,2,JC Buttler,3,1,JC Archer,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,2,JC Buttler,4,1,JC Archer,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,5,1,JC Archer,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,1,YBK Jaiswal,6,1,JC Archer,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,2,JC Buttler,0,2,C Green,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,2,JC Buttler,1,2,C Green,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,2,JC Buttler,2,2,C Green,0,0,,0,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,2,JC Buttler,3,2,C Green,0,0,,0,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
1,Rajasthan Royals,2,JC Buttler,4,2,C Green,0,0,,1,1,0,0,Mumbai,2023-04-30,2023,T20,42,Rajasthan Royals vs Mumbai Indians
