inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Royal Challengers Bangalore,1,V Kohli,0,0,KH Pandya,4,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,1,0,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,2,0,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,3,0,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,4,0,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,5,0,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,0,1,MP Stoinis,1,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,1,1,MP Stoinis,2,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,2,1,MP Stoinis,2,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,3,1,MP Stoinis,1,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,4,1,MP Stoinis,1,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,5,1,MP Stoinis,4,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,0,2,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,1,2,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,2,2,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,3,2,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,4,2,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,5,2,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-05-01,2023,T20,43,Royal Challengers Bangalore vs Lucknow Super Giants
