inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Mumbai Indians,1,RG Sharma,0,0,Mohammed Siraj,1,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,1,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,2,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,3,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,4,0,Mohammed Siraj,1,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,1,RG Sharma,5,0,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,0,1,RJW Topley,4,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,1,1,RJW Topley,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,2,1,RJW Topley,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,3,1,RJW Topley,4,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,4,1,RJW Topley,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,5,1,RJW Topley,1,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,0,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,1,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,2,Ishan Kishan,2,2,Mohammed Siraj,0,1,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,3,C Green,3,2,Mohammed Siraj,1,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,1,RG Sharma,4,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,1,RG Sharma,5,2,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,3,C Green,0,3,RJW Topley,4,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,3,C Green,1,3,RJW Topley,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,3,C Green,2,3,RJW Topley,0,1,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,3,3,RJW Topley,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,4,3,RJW Topley,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,5,3,RJW Topley,1,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,0,4,Mohammed Siraj,0,0,,0,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,1,4,Mohammed Siraj,1,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,1,RG Sharma,2,4,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,1,RG Sharma,3,4,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,1,RG Sharma,4,4,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,1,RG Sharma,5,4,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,1,RG Sharma,6,4,Mohammed Siraj,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,0,5,Akash Deep,1,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,1,RG Sharma,1,5,Akash Deep,0,1,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,2,5,Akash Deep,0,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,3,5,Akash Deep,6,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,4,5,Akash Deep,1,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,5,5,Akash Deep,2,0,,1,1,0,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,0,6,HV Patel,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,1,6,HV Patel,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,2,6,HV Patel,4,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,3,6,HV Patel,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,4,6,HV Patel,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,5,6,HV Patel,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,0,7,KV Sharma,2,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,1,7,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,2,7,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,3,7,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,4,7,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,5,7,KV Sharma,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,0,8,MG Bracewell,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,1,8,MG Bracewell,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,2,8,MG Bracewell,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,3,8,MG Bracewell,4,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,4,SA Yadav,4,8,MG Bracewell,0,1,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,5,8,MG Bracewell,4,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,0,9,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,1,9,KV Sharma,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,2,9,KV Sharma,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,3,9,KV Sharma,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,4,9,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,5,9,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,0,10,MG Bracewell,4,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,1,10,MG Bracewell,2,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,2,10,MG Bracewell,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,3,10,MG Bracewell,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,4,10,MG Bracewell,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,5,10,MG Bracewell,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,0,11,GJ Maxwell,6,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,1,11,GJ Maxwell,4,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,2,11,GJ Maxwell,0,0,,0,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,3,11,GJ Maxwell,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,4,11,GJ Maxwell,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,5,11,GJ Maxwell,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,6,11,GJ Maxwell,2,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,0,12,Akash Deep,4,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,1,12,Akash Deep,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,2,12,Akash Deep,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,3,12,Akash Deep,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,4,12,Akash Deep,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,5,12,Akash Deep,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,0,13,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,1,13,KV Sharma,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,2,13,KV Sharma,6,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,3,13,KV Sharma,6,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,6,N Wadhera,4,13,KV Sharma,0,1,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,7,TH David,5,13,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,7,TH David,0,14,HV Patel,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,1,14,HV Patel,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,7,TH David,2,14,HV Patel,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,7,TH David,3,14,HV Patel,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,7,TH David,4,14,HV Patel,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,5,14,HV Patel,0,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,7,TH David,0,15,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,1,15,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,7,TH David,2,15,KV Sharma,0,0,,0,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,7,TH David,3,15,KV Sharma,0,1,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,8,HR Shokeen,4,15,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,5,15,KV Sharma,1,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,8,HR Shokeen,6,15,KV Sharma,4,0,,1,0,1,0,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,0,16,Akash Deep,6,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,1,16,Akash Deep,0,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,2,16,Akash Deep,0,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,3,16,Akash Deep,0,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,4,16,Akash Deep,4,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,5,16,Akash Deep,2,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,8,HR Shokeen,0,17,HV Patel,0,1,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,9,Arshad Khan,1,17,HV Patel,1,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,2,17,HV Patel,0,0,,0,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,9,Arshad Khan,3,17,HV Patel,2,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,9,Arshad Khan,4,17,HV Patel,1,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,5,17,HV Patel,0,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,6,17,HV Patel,4,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,9,Arshad Khan,0,18,Mohammed Siraj,0,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,9,Arshad Khan,1,18,Mohammed Siraj,1,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,2,18,Mohammed Siraj,0,0,,0,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,3,18,Mohammed Siraj,0,0,,0,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,4,18,Mohammed Siraj,0,0,,0,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,5,18,Mohammed Siraj,0,0,,0,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,6,18,Mohammed Siraj,2,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
1,Mumbai Indians,5,Tilak Varma,7,18,Mohammed Siraj,4,0,,1,0,0,1,Bengaluru,2023-04-02,2023,T20,5,Mumbai Indians vs Royal Challengers Bangalore
