inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Chennai Super Kings,1,RD Gaikwad,0,0,KR Mayers,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,1,0,KR Mayers,0,0,,0,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,2,0,KR Mayers,0,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,3,0,KR Mayers,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,4,0,KR Mayers,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,5,0,KR Mayers,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,6,0,KR Mayers,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,0,1,Avesh Khan,0,0,,0,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,1,1,Avesh Khan,3,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,2,1,Avesh Khan,0,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,3,1,Avesh Khan,4,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,4,1,Avesh Khan,4,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,5,1,Avesh Khan,0,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,6,1,Avesh Khan,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,0,2,KR Mayers,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,1,2,KR Mayers,4,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,2,2,KR Mayers,2,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,3,2,KR Mayers,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,4,2,KR Mayers,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,5,2,KR Mayers,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,0,3,KH Pandya,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,1,3,KH Pandya,0,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,2,3,KH Pandya,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,3,3,KH Pandya,0,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,4,3,KH Pandya,4,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,5,3,KH Pandya,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,0,4,K Gowtham,0,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,1,4,K Gowtham,6,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,2,4,K Gowtham,0,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,3,4,K Gowtham,6,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,4,4,K Gowtham,2,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,5,4,K Gowtham,6,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,0,5,MA Wood,4,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,1,5,MA Wood,0,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,2,5,MA Wood,4,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,3,5,MA Wood,1,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,4,5,MA Wood,6,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,5,5,MA Wood,0,0,,1,1,0,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,0,6,Yash Thakur,1,0,,1,0,1,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,1,RD Gaikwad,1,6,Yash Thakur,1,0,,1,0,1,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
1,Chennai Super Kings,2,DP Conway,2,6,Yash Thakur,1,0,,1,0,1,0,Chennai,2023-04-03,2023,T20,6,Chennai Super Kings vs Lucknow Super Giants
