inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Delhi Capitals,1,DA Warner,0,0,Mohammed Shami,0,0,,0,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,1,0,Mohammed Shami,0,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,2,0,Mohammed Shami,0,0,,0,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,3,0,Mohammed Shami,0,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,4,0,Mohammed Shami,0,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,5,0,Mohammed Shami,0,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,6,0,Mohammed Shami,4,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,7,0,Mohammed Shami,0,0,,0,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,8,0,Mohammed Shami,0,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PP Shaw,0,1,J Little,1,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,1,1,J Little,0,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,2,1,J Little,2,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,3,1,J Little,0,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,4,1,J Little,2,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,1,DA Warner,5,1,J Little,4,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PP Shaw,0,2,Mohammed Shami,0,0,,0,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PP Shaw,1,2,Mohammed Shami,4,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PP Shaw,2,2,Mohammed Shami,0,0,,1,1,0,0,Delhi,2023-04-04,2023,T20,7,Delhi Capitals vs Gujarat Titans
