inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Sunrisers Hyderabad,1,Anmolpreet Singh,0,0,KR Mayers,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,2,MA Agarwal,1,0,KR Mayers,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,1,Anmolpreet Singh,2,0,KR Mayers,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,2,MA Agarwal,3,0,KR Mayers,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,1,Anmolpreet Singh,4,0,KR Mayers,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,1,Anmolpreet Singh,5,0,KR Mayers,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,1,Anmolpreet Singh,0,1,JD Unadkat,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,1,Anmolpreet Singh,1,1,JD Unadkat,2,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,1,Anmolpreet Singh,2,1,JD Unadkat,0,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,1,Anmolpreet Singh,3,1,JD Unadkat,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
1,Sunrisers Hyderabad,2,MA Agarwal,4,1,JD Unadkat,1,0,,1,1,0,0,Lucknow,2023-04-07,2023,T20,10,Sunrisers Hyderabad vs Lucknow Super Giants
