inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Royal Challengers Bangalore,1,V Kohli,0,0,JD Unadkat,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,1,0,JD Unadkat,2,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,2,0,JD Unadkat,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,3,0,JD Unadkat,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,4,0,JD Unadkat,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,5,0,JD Unadkat,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,0,1,Avesh Khan,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,1,1,Avesh Khan,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,2,1,Avesh Khan,6,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,3,1,Avesh Khan,4,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,4,1,Avesh Khan,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,5,1,Avesh Khan,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,0,2,KH Pandya,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,1,2,KH Pandya,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,2,2,KH Pandya,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,3,2,KH Pandya,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,4,2,KH Pandya,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,5,2,KH Pandya,4,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,0,3,Avesh Khan,4,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,1,3,Avesh Khan,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,2,3,Avesh Khan,4,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,3,3,Avesh Khan,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,4,3,Avesh Khan,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,5,3,Avesh Khan,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,0,4,KH Pandya,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,1,4,KH Pandya,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,2,4,KH Pandya,6,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,3,4,KH Pandya,0,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,4,4,KH Pandya,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,5,4,KH Pandya,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,2,F du Plessis,0,5,MA Wood,1,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,1,5,MA Wood,4,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
1,Royal Challengers Bangalore,1,V Kohli,2,5,MA Wood,6,0,,1,1,0,0,Bengaluru,2023-04-10,2023,T20,15,Royal Challengers Bangalore vs Lucknow Super Giants
