inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Chennai Super Kings,1,DP Conway,0,0,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,1,DP Conway,1,0,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,2,0,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,3,0,Mohammed Shami,1,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,1,DP Conway,4,0,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,1,DP Conway,5,0,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,0,1,HH Pandya,4,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,1,1,HH Pandya,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,2,1,HH Pandya,4,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,3,1,HH Pandya,1,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,1,DP Conway,4,1,HH Pandya,1,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,5,1,HH Pandya,1,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,0,2,Mohammed Shami,1,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,1,DP Conway,1,2,Mohammed Shami,0,1,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,3,MM Ali,2,2,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,3,MM Ali,3,2,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,3,MM Ali,4,2,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,3,MM Ali,5,2,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,0,3,J Little,6,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,1,3,J Little,4,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,2,3,J Little,1,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,3,MM Ali,3,3,J Little,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,3,MM Ali,4,3,J Little,4,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,3,MM Ali,5,3,J Little,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
1,Chennai Super Kings,2,RD Gaikwad,0,4,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-03-31,2023,T20,1,Chennai Super Kings vs Gujarat Titans
