inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Royal Challengers Bangalore,1,V Kohli,0,0,A Nortje,0,0,,0,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,1,0,A Nortje,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,2,0,A Nortje,4,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,3,0,A Nortje,4,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,4,0,A Nortje,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,5,0,A Nortje,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,6,0,A Nortje,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,0,1,AR Patel,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,1,1,AR Patel,2,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,2,1,AR Patel,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,3,1,AR Patel,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,4,1,AR Patel,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,5,1,AR Patel,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,0,2,Mustafizur Rahman,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,1,2,Mustafizur Rahman,4,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,2,2,Mustafizur Rahman,4,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,3,2,Mustafizur Rahman,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,4,2,Mustafizur Rahman,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,5,2,Mustafizur Rahman,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,0,3,AR Patel,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,1,3,AR Patel,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,2,3,AR Patel,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,3,3,AR Patel,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,4,3,AR Patel,6,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,5,3,AR Patel,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,0,4,MR Marsh,4,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,1,4,MR Marsh,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,2,4,MR Marsh,4,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,2,F du Plessis,3,4,MR Marsh,0,1,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,4,4,MR Marsh,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,5,4,MR Marsh,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,0,5,Lalit Yadav,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,1,5,Lalit Yadav,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,2,5,Lalit Yadav,0,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,3,5,Lalit Yadav,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,4,5,Lalit Yadav,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,5,5,Lalit Yadav,1,0,,1,1,0,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,0,6,Kuldeep Yadav,0,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,1,6,Kuldeep Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,2,6,Kuldeep Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,3,6,Kuldeep Yadav,0,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,4,6,Kuldeep Yadav,4,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,5,6,Kuldeep Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,0,7,Lalit Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,1,7,Lalit Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,2,7,Lalit Yadav,0,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,3,7,Lalit Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,4,7,Lalit Yadav,2,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,5,7,Lalit Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,0,8,Kuldeep Yadav,4,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,1,8,Kuldeep Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,2,8,Kuldeep Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,3,8,Kuldeep Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,4,8,Kuldeep Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,5,8,Kuldeep Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,0,9,Mustafizur Rahman,4,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,1,9,Mustafizur Rahman,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,2,9,Mustafizur Rahman,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,3,9,Mustafizur Rahman,6,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,4,9,Mustafizur Rahman,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,5,9,Mustafizur Rahman,6,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,1,V Kohli,0,10,Lalit Yadav,0,1,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,4,GJ Maxwell,1,10,Lalit Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,2,10,Lalit Yadav,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,4,GJ Maxwell,3,10,Lalit Yadav,6,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,4,GJ Maxwell,4,10,Lalit Yadav,0,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,4,GJ Maxwell,5,10,Lalit Yadav,6,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
1,Royal Challengers Bangalore,3,MK Lomror,0,11,A Nortje,1,0,,1,0,1,0,Bengaluru,2023-04-15,2023,T20,20,Royal Challengers Bangalore vs Delhi Capitals
