inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Lucknow Super Giants,1,KL Rahul,0,0,MW Short,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,1,0,MW Short,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,2,0,MW Short,6,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,3,0,MW Short,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,4,0,MW Short,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,5,0,MW Short,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,0,1,Arshdeep Singh,0,0,,0,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,1,1,Arshdeep Singh,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,2,1,Arshdeep Singh,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,3,1,Arshdeep Singh,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,4,1,Arshdeep Singh,4,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,5,1,Arshdeep Singh,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,6,1,Arshdeep Singh,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,0,2,K Rabada,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,1,2,K Rabada,4,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,2,2,K Rabada,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,3,2,K Rabada,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,4,2,K Rabada,4,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,5,2,K Rabada,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,0,3,SM Curran,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,1,3,SM Curran,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,2,3,SM Curran,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,3,3,SM Curran,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,4,3,SM Curran,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,5,3,SM Curran,6,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,0,4,K Rabada,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,1,4,K Rabada,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,2,4,K Rabada,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,3,4,K Rabada,2,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,4,4,K Rabada,6,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,5,4,K Rabada,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,0,5,Harpreet Brar,4,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,1,5,Harpreet Brar,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,2,KR Mayers,2,5,Harpreet Brar,1,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
1,Lucknow Super Giants,1,KL Rahul,3,5,Harpreet Brar,0,0,,1,1,0,0,Lucknow,2023-04-15,2023,T20,21,Lucknow Super Giants vs Punjab Kings
