inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Gujarat Titans,1,WP Saha,0,0,TA Boult,0,0,,0,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,1,WP Saha,1,0,TA Boult,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,1,WP Saha,2,0,TA Boult,4,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,1,WP Saha,3,0,TA Boult,0,1,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,4,0,TA Boult,1,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,3,Shubman Gill,5,0,TA Boult,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,3,Shubman Gill,6,0,TA Boult,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,0,1,Sandeep Sharma,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,1,1,Sandeep Sharma,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,2,1,Sandeep Sharma,4,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,3,1,Sandeep Sharma,1,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,3,Shubman Gill,4,1,Sandeep Sharma,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,3,Shubman Gill,5,1,Sandeep Sharma,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,0,2,TA Boult,0,0,,0,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,1,2,TA Boult,4,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,2,2,TA Boult,1,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,3,2,TA Boult,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,4,2,TA Boult,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,5,2,TA Boult,3,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,3,Shubman Gill,6,2,TA Boult,4,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,0,3,Sandeep Sharma,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,1,3,Sandeep Sharma,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,2,3,Sandeep Sharma,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,3,3,Sandeep Sharma,1,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,3,Shubman Gill,4,3,Sandeep Sharma,1,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,5,3,Sandeep Sharma,1,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,0,4,A Zampa,2,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,1,4,A Zampa,1,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,3,Shubman Gill,2,4,A Zampa,1,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,3,4,A Zampa,0,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,2,B Sai Sudharsan,4,4,A Zampa,1,0,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
1,Gujarat Titans,3,Shubman Gill,5,4,A Zampa,0,1,,1,1,0,0,Ahmedabad,2023-04-16,2023,T20,23,Gujarat Titans vs Rajasthan Royals
