inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Mumbai Indians,1,RG Sharma,0,0,B Kumar,1,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,2,Ishan Kishan,1,0,B Kumar,1,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,2,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,3,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,4,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,5,0,B Kumar,4,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,2,Ishan Kishan,0,1,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,2,Ishan Kishan,1,1,M Jansen,1,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,2,1,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,3,1,M Jansen,0,0,,0,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,4,1,M Jansen,1,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,2,Ishan Kishan,5,1,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,2,Ishan Kishan,6,1,M Jansen,6,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,0,2,Washington Sundar,4,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,1,2,Washington Sundar,4,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,2,2,Washington Sundar,4,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,3,2,Washington Sundar,0,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,4,2,Washington Sundar,1,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,2,Ishan Kishan,5,2,Washington Sundar,0,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,0,3,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,1,RG Sharma,1,3,M Jansen,1,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
1,Mumbai Indians,2,Ishan Kishan,2,3,M Jansen,4,0,,1,1,0,0,Hyderabad,2023-04-18,2023,T20,25,Mumbai Indians vs Sunrisers Hyderabad
