inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Royal Challengers Bangalore,1,V Kohli,0,0,Arshdeep Singh,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,1,0,Arshdeep Singh,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,2,0,Arshdeep Singh,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,3,0,Arshdeep Singh,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,4,0,Arshdeep Singh,2,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,5,0,Arshdeep Singh,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,0,1,Harpreet Brar,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,1,1,Harpreet Brar,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,2,1,Harpreet Brar,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,3,1,Harpreet Brar,4,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,4,1,Harpreet Brar,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,5,1,Harpreet Brar,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,0,2,Arshdeep Singh,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,1,2,Arshdeep Singh,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,2,2,Arshdeep Singh,4,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,3,2,Arshdeep Singh,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,4,2,Arshdeep Singh,2,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,5,2,Arshdeep Singh,4,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,0,3,Harpreet Brar,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,1,3,Harpreet Brar,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,2,3,Harpreet Brar,6,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,3,3,Harpreet Brar,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,4,3,Harpreet Brar,6,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,5,3,Harpreet Brar,3,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,0,4,NT Ellis,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,1,4,NT Ellis,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,2,4,NT Ellis,4,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,3,4,NT Ellis,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,4,4,NT Ellis,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,5,4,NT Ellis,4,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,0,5,SM Curran,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,1,5,SM Curran,4,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,2,5,SM Curran,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,3,5,SM Curran,2,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,4,5,SM Curran,1,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,5,5,SM Curran,0,0,,1,1,0,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,0,6,RD Chahar,0,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,1,6,RD Chahar,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,2,6,RD Chahar,2,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,3,6,RD Chahar,0,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,4,6,RD Chahar,0,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,5,6,RD Chahar,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,0,7,NT Ellis,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,1,7,NT Ellis,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,2,7,NT Ellis,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,3,7,NT Ellis,0,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,4,7,NT Ellis,2,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,5,7,NT Ellis,6,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,0,8,RD Chahar,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,1,8,RD Chahar,0,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,2,8,RD Chahar,4,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,3,8,RD Chahar,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,4,8,RD Chahar,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,5,8,RD Chahar,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,0,9,LS Livingstone,4,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,1,9,LS Livingstone,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,2,9,LS Livingstone,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,3,9,LS Livingstone,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,4,9,LS Livingstone,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,5,9,LS Livingstone,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,2,F du Plessis,0,10,RD Chahar,1,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,1,10,RD Chahar,0,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
1,Royal Challengers Bangalore,1,V Kohli,2,10,RD Chahar,0,0,,1,0,1,0,Chandigarh,2023-04-20,2023,T20,27,Royal Challengers Bangalore vs Punjab Kings
