inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Kolkata Knight Riders,1,JJ Roy,0,0,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,1,0,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,2,0,I Sharma,1,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,2,Liton Das,3,0,I Sharma,4,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,2,Liton Das,4,0,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,2,Liton Das,5,0,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,1,Mukesh Kumar,4,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,1,1,Mukesh Kumar,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,2,1,Mukesh Kumar,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,3,1,Mukesh Kumar,4,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,4,1,Mukesh Kumar,0,0,,0,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,5,1,Mukesh Kumar,1,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,2,Liton Das,6,1,Mukesh Kumar,0,1,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,2,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,1,2,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,2,2,I Sharma,4,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,3,2,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,4,2,I Sharma,1,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,3,VR Iyer,5,2,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,3,A Nortje,4,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,1,3,A Nortje,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,3,VR Iyer,2,3,A Nortje,0,1,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,4,N Rana,3,3,A Nortje,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,4,N Rana,4,3,A Nortje,4,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,4,N Rana,5,3,A Nortje,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,4,Mukesh Kumar,0,0,,0,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,1,4,Mukesh Kumar,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,2,4,Mukesh Kumar,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,3,4,Mukesh Kumar,1,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,4,N Rana,4,4,Mukesh Kumar,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,4,N Rana,5,4,Mukesh Kumar,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,4,N Rana,6,4,Mukesh Kumar,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,5,I Sharma,1,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,4,N Rana,1,5,I Sharma,0,1,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,2,5,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,3,5,I Sharma,1,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,4,5,I Sharma,1,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,5,5,I Sharma,1,0,,1,1,0,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,0,6,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,1,6,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,2,6,AR Patel,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,3,6,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,4,6,AR Patel,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,5,6,AR Patel,2,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,7,MR Marsh,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,1,7,MR Marsh,0,0,,0,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,2,7,MR Marsh,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,3,7,MR Marsh,6,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,4,7,MR Marsh,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,5,7,MR Marsh,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,6,7,MR Marsh,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,8,AR Patel,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,5,Mandeep Singh,1,8,AR Patel,0,1,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,6,RK Singh,2,8,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,6,RK Singh,3,8,AR Patel,4,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,6,RK Singh,4,8,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,6,RK Singh,5,8,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,9,Kuldeep Yadav,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,1,9,Kuldeep Yadav,6,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,2,9,Kuldeep Yadav,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,6,RK Singh,3,9,Kuldeep Yadav,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,4,9,Kuldeep Yadav,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,6,RK Singh,5,9,Kuldeep Yadav,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,6,RK Singh,0,10,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,6,RK Singh,1,10,AR Patel,0,1,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,7,SP Narine,2,10,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,7,SP Narine,3,10,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,7,SP Narine,4,10,AR Patel,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,7,SP Narine,5,10,AR Patel,4,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,11,I Sharma,0,0,,0,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,7,SP Narine,1,11,I Sharma,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,7,SP Narine,2,11,I Sharma,0,1,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,3,11,I Sharma,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,4,11,I Sharma,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,5,11,I Sharma,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,6,11,I Sharma,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,0,12,A Nortje,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,1,12,A Nortje,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,2,12,A Nortje,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,3,12,A Nortje,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,4,12,A Nortje,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,5,12,A Nortje,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,0,13,MR Marsh,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,1,13,MR Marsh,6,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,2,13,MR Marsh,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,3,13,MR Marsh,4,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,4,13,MR Marsh,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,5,13,MR Marsh,0,0,,0,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,6,13,MR Marsh,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,0,14,Kuldeep Yadav,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,1,14,Kuldeep Yadav,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,2,14,Kuldeep Yadav,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,1,JJ Roy,3,14,Kuldeep Yadav,0,1,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,9,AS Roy,4,14,Kuldeep Yadav,0,1,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,10,UT Yadav,5,14,Kuldeep Yadav,1,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,10,UT Yadav,0,15,A Nortje,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,10,UT Yadav,1,15,A Nortje,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,10,UT Yadav,2,15,A Nortje,2,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,10,UT Yadav,3,15,A Nortje,0,1,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,11,CV Varun,4,15,A Nortje,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,11,CV Varun,5,15,A Nortje,0,0,,0,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,11,CV Varun,6,15,A Nortje,0,0,,1,0,1,0,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,0,16,Mukesh Kumar,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,1,16,Mukesh Kumar,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,2,16,Mukesh Kumar,0,0,,0,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,3,16,Mukesh Kumar,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,4,16,Mukesh Kumar,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,5,16,Mukesh Kumar,1,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,11,CV Varun,6,16,Mukesh Kumar,0,0,,0,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,11,CV Varun,7,16,Mukesh Kumar,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,0,17,A Nortje,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,1,17,A Nortje,4,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,2,17,A Nortje,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,3,17,A Nortje,0,0,,0,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,4,17,A Nortje,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,5,17,A Nortje,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,6,17,A Nortje,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,11,CV Varun,0,18,Kuldeep Yadav,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,11,CV Varun,1,18,Kuldeep Yadav,1,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,2,18,Kuldeep Yadav,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,3,18,Kuldeep Yadav,0,0,,0,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,4,18,Kuldeep Yadav,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,5,18,Kuldeep Yadav,1,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,11,CV Varun,6,18,Kuldeep Yadav,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
1,Kolkata Knight Riders,8,AD Russell,0,19,Mukesh Kumar,0,0,,1,0,0,1,Delhi,2023-04-20,2023,T20,28,Kolkata Knight Riders vs Delhi Capitals
