inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Gujarat Titans,1,WP Saha,0,0,Naveen-ul-Haq,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,1,0,Naveen-ul-Haq,2,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,2,0,Naveen-ul-Haq,2,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,3,0,Naveen-ul-Haq,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,4,0,Naveen-ul-Haq,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,5,0,Naveen-ul-Haq,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,2,Shubman Gill,0,1,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,2,Shubman Gill,1,1,KH Pandya,0,1,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,3,HH Pandya,2,1,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,3,HH Pandya,3,1,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,3,HH Pandya,4,1,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,5,1,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,3,HH Pandya,0,2,Naveen-ul-Haq,2,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,3,HH Pandya,1,2,Naveen-ul-Haq,1,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,2,2,Naveen-ul-Haq,4,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,3,2,Naveen-ul-Haq,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,4,2,Naveen-ul-Haq,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,5,2,Naveen-ul-Haq,1,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,0,3,KH Pandya,4,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,1,3,KH Pandya,2,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,2,3,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,3,3,KH Pandya,1,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,3,HH Pandya,4,3,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,3,HH Pandya,5,3,KH Pandya,0,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
1,Gujarat Titans,1,WP Saha,0,4,Avesh Khan,2,0,,1,1,0,0,Lucknow,2023-04-22,2023,T20,30,Gujarat Titans vs Lucknow Super Giants
