inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Punjab Kings,1,MW Short,0,0,Arjun Tendulkar,0,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,1,0,Arjun Tendulkar,1,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,2,P Simran Singh,2,0,Arjun Tendulkar,0,0,,0,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,2,P Simran Singh,3,0,Arjun Tendulkar,1,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,4,0,Arjun Tendulkar,0,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,5,0,Arjun Tendulkar,0,0,,0,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,6,0,Arjun Tendulkar,1,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,2,P Simran Singh,7,0,Arjun Tendulkar,0,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,0,1,JP Behrendorff,1,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,2,P Simran Singh,1,1,JP Behrendorff,2,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,2,P Simran Singh,2,1,JP Behrendorff,1,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,3,1,JP Behrendorff,0,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,4,1,JP Behrendorff,0,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,5,1,JP Behrendorff,4,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,2,P Simran Singh,0,2,C Green,1,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,1,2,C Green,4,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,1,MW Short,2,2,C Green,0,1,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,3,Atharva Taide,3,2,C Green,0,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,3,Atharva Taide,4,2,C Green,1,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,2,P Simran Singh,5,2,C Green,1,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,2,P Simran Singh,0,3,JP Behrendorff,6,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
1,Punjab Kings,2,P Simran Singh,1,3,JP Behrendorff,0,0,,1,1,0,0,Mumbai,2023-04-22,2023,T20,31,Punjab Kings vs Mumbai Indians
