inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Delhi Capitals,1,DA Warner,0,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,1,0,B Kumar,1,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,2,PD Salt,2,0,B Kumar,0,1,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,3,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,4,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,5,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,0,1,M Jansen,4,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,1,1,M Jansen,4,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,2,1,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,3,1,M Jansen,4,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,4,1,M Jansen,4,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,5,1,M Jansen,3,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,0,2,B Kumar,1,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,1,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,2,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,3,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,4,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,5,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,0,3,Washington Sundar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,1,3,Washington Sundar,0,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,3,MR Marsh,2,3,Washington Sundar,1,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,3,3,Washington Sundar,4,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,4,3,Washington Sundar,6,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
1,Delhi Capitals,1,DA Warner,5,3,Washington Sundar,2,0,,1,1,0,0,Hyderabad,2023-04-24,2023,T20,34,Delhi Capitals vs Sunrisers Hyderabad
