inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Gujarat Titans,1,WP Saha,0,0,Arjun Tendulkar,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,1,WP Saha,1,0,Arjun Tendulkar,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,1,WP Saha,2,0,Arjun Tendulkar,3,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,3,0,Arjun Tendulkar,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,1,WP Saha,4,0,Arjun Tendulkar,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,1,WP Saha,5,0,Arjun Tendulkar,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,0,1,JP Behrendorff,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,1,1,JP Behrendorff,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,2,1,JP Behrendorff,4,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,3,1,JP Behrendorff,2,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,4,1,JP Behrendorff,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,1,WP Saha,5,1,JP Behrendorff,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,1,WP Saha,0,2,Arjun Tendulkar,0,1,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,1,2,Arjun Tendulkar,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,2,2,Arjun Tendulkar,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,3,2,Arjun Tendulkar,2,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,4,2,Arjun Tendulkar,2,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,5,2,Arjun Tendulkar,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,0,3,JP Behrendorff,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,1,3,JP Behrendorff,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,2,3,JP Behrendorff,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,3,3,JP Behrendorff,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,4,3,JP Behrendorff,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,5,3,JP Behrendorff,4,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,0,4,RP Meredith,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,1,4,RP Meredith,4,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,2,4,RP Meredith,0,0,,0,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,3,4,RP Meredith,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,4,4,RP Meredith,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,5,4,RP Meredith,0,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,6,4,RP Meredith,0,0,,0,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,7,4,RP Meredith,2,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,0,5,C Green,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,1,5,C Green,4,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,2,5,C Green,4,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,3,5,C Green,6,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,2,Shubman Gill,4,5,C Green,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,5,5,C Green,1,0,,1,1,0,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,3,HH Pandya,0,6,PP Chawla,0,1,,1,0,1,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
1,Gujarat Titans,4,V Shankar,1,6,PP Chawla,0,0,,0,0,1,0,Ahmedabad,2023-04-25,2023,T20,35,Gujarat Titans vs Mumbai Indians
