inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Rajasthan Royals,1,YBK Jaiswal,0,0,Akash Singh,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,1,0,Akash Singh,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,2,0,Akash Singh,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,3,0,Akash Singh,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,4,0,Akash Singh,1,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,5,0,Akash Singh,1,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,1,TU Deshpande,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,1,1,TU Deshpande,2,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,2,1,TU Deshpande,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,3,1,TU Deshpande,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,4,1,TU Deshpande,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,5,1,TU Deshpande,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,0,2,Akash Singh,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,1,2,Akash Singh,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,2,2,Akash Singh,6,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,3,2,Akash Singh,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,4,2,Akash Singh,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,5,2,Akash Singh,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,3,M Theekshana,1,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,1,3,M Theekshana,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,2,3,M Theekshana,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,3,3,M Theekshana,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,4,3,M Theekshana,1,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,5,3,M Theekshana,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,4,TU Deshpande,1,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,1,4,TU Deshpande,6,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,2,4,TU Deshpande,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,3,4,TU Deshpande,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,4,4,TU Deshpande,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,5,4,TU Deshpande,2,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,0,5,M Theekshana,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,1,5,M Theekshana,1,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,2,5,M Theekshana,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,3,5,M Theekshana,1,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,4,5,M Theekshana,0,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,5,5,M Theekshana,4,0,,1,1,0,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,0,6,RA Jadeja,0,0,,1,0,1,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,1,6,RA Jadeja,1,0,,1,0,1,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,2,JC Buttler,2,6,RA Jadeja,1,0,,1,0,1,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
1,Rajasthan Royals,1,YBK Jaiswal,3,6,RA Jadeja,6,0,,1,0,1,0,Jaipur,2023-04-27,2023,T20,37,Rajasthan Royals vs Chennai Super Kings
