inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Lucknow Super Giants,1,KL Rahul,0,0,KK Ahmed,1,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,1,0,KK Ahmed,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,2,0,KK Ahmed,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,3,0,KK Ahmed,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,4,0,KK Ahmed,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,5,0,KK Ahmed,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,0,1,Mukesh Kumar,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,1,1,Mukesh Kumar,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,2,1,Mukesh Kumar,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,3,1,Mukesh Kumar,1,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,4,1,Mukesh Kumar,2,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,5,1,Mukesh Kumar,2,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,0,2,KK Ahmed,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,1,2,KK Ahmed,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,2,2,KK Ahmed,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,3,2,KK Ahmed,4,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,4,2,KK Ahmed,1,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,5,2,KK Ahmed,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,2,KR Mayers,0,3,C Sakariya,1,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,1,3,C Sakariya,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,2,3,C Sakariya,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,3,3,C Sakariya,6,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
1,Lucknow Super Giants,1,KL Rahul,4,3,C Sakariya,0,0,,1,1,0,0,Lucknow,2023-04-01,2023,T20,3,Lucknow Super Giants vs Delhi Capitals
