inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Sunrisers Hyderabad,1,Abhishek Sharma,0,0,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,1,Abhishek Sharma,1,0,I Sharma,4,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,1,Abhishek Sharma,2,0,I Sharma,4,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,1,Abhishek Sharma,3,0,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,1,Abhishek Sharma,4,0,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,1,Abhishek Sharma,5,0,I Sharma,0,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,2,MA Agarwal,0,1,A Nortje,0,0,,0,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,2,MA Agarwal,1,1,A Nortje,4,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,2,MA Agarwal,2,1,A Nortje,0,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,2,MA Agarwal,3,1,A Nortje,0,0,,0,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,2,MA Agarwal,4,1,A Nortje,1,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,1,Abhishek Sharma,5,1,A Nortje,0,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
1,Sunrisers Hyderabad,1,Abhishek Sharma,6,1,A Nortje,2,0,,1,1,0,0,Delhi,2023-04-29,2023,T20,40,Sunrisers Hyderabad vs Delhi Capitals
