inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Delhi Capitals,1,PD Salt,0,0,Mohammed Shami,0,1,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,1,0,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,2,0,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,3,0,Mohammed Shami,3,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,3,DA Warner,4,0,Mohammed Shami,2,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,3,DA Warner,5,0,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,0,1,HH Pandya,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,1,1,HH Pandya,0,1,,0,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,2,1,HH Pandya,1,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,4,RR Rossouw,3,1,HH Pandya,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,4,RR Rossouw,4,1,HH Pandya,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,4,RR Rossouw,5,1,HH Pandya,4,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,4,RR Rossouw,6,1,HH Pandya,4,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,0,2,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,1,2,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,2,2,Mohammed Shami,1,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,4,RR Rossouw,3,2,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,4,RR Rossouw,4,2,Mohammed Shami,0,1,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,5,MK Pandey,5,2,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,0,3,J Little,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,1,3,J Little,1,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,5,MK Pandey,2,3,J Little,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,5,MK Pandey,3,3,J Little,1,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,4,3,J Little,2,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,5,3,J Little,2,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,5,MK Pandey,0,4,Mohammed Shami,0,1,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,1,4,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,2,4,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,3,4,Mohammed Shami,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,4,4,Mohammed Shami,1,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,2,PK Garg,5,4,Mohammed Shami,0,1,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,0,5,J Little,1,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,1,5,J Little,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,2,5,J Little,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,3,5,J Little,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,4,5,J Little,0,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,5,5,J Little,4,0,,1,1,0,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,0,6,Mohammed Shami,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,1,6,Mohammed Shami,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,2,6,Mohammed Shami,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,3,6,Mohammed Shami,4,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,4,6,Mohammed Shami,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,5,6,Mohammed Shami,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,0,7,Rashid Khan,1,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,1,7,Rashid Khan,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,2,7,Rashid Khan,1,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,3,7,Rashid Khan,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,4,7,Rashid Khan,6,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,5,7,Rashid Khan,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,0,8,Noor Ahmad,1,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,1,8,Noor Ahmad,1,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,2,8,Noor Ahmad,0,0,,0,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,3,8,Noor Ahmad,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,4,8,Noor Ahmad,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,5,8,Noor Ahmad,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,6,8,Noor Ahmad,1,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,0,9,Rashid Khan,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,6,AR Patel,1,9,Rashid Khan,1,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
1,Delhi Capitals,7,Aman Hakim Khan,2,9,Rashid Khan,0,0,,1,0,1,0,Ahmedabad,2023-05-02,2023,T20,44,Delhi Capitals vs Gujarat Titans
