inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Kolkata Knight Riders,1,JJ Roy,0,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,1,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,2,0,B Kumar,4,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,3,0,B Kumar,4,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,4,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,5,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,2,Rahmanullah Gurbaz,0,1,M Jansen,0,1,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,3,VR Iyer,1,1,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,3,VR Iyer,2,1,M Jansen,4,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,3,VR Iyer,3,1,M Jansen,3,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,4,1,M Jansen,1,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,3,VR Iyer,5,1,M Jansen,0,1,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,0,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,1,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,2,2,B Kumar,4,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,3,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,4,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,5,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,4,N Rana,0,3,M Jansen,4,0,,0,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,4,N Rana,1,3,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,4,N Rana,2,3,M Jansen,1,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,3,3,M Jansen,1,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,4,N Rana,4,3,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,4,N Rana,5,3,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,4,N Rana,6,3,M Jansen,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,0,4,Kartik Tyagi,0,0,,0,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,1,4,Kartik Tyagi,0,0,,0,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,2,4,Kartik Tyagi,2,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,3,4,Kartik Tyagi,0,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
1,Kolkata Knight Riders,1,JJ Roy,4,4,Kartik Tyagi,4,0,,1,1,0,0,Hyderabad,2023-05-04,2023,T20,47,Kolkata Knight Riders vs Sunrisers Hyderabad
