inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Rajasthan Royals,1,YBK Jaiswal,0,0,Mohammed Shami,0,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,1,YBK Jaiswal,1,0,Mohammed Shami,0,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,1,YBK Jaiswal,2,0,Mohammed Shami,1,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,2,JC Buttler,3,0,Mohammed Shami,0,0,,0,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,2,JC Buttler,4,0,Mohammed Shami,0,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,2,JC Buttler,5,0,Mohammed Shami,0,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,2,JC Buttler,6,0,Mohammed Shami,0,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,1,YBK Jaiswal,0,1,HH Pandya,0,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,2,JC Buttler,1,1,HH Pandya,4,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,2,JC Buttler,2,1,HH Pandya,4,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,2,JC Buttler,3,1,HH Pandya,0,1,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
1,Rajasthan Royals,3,SV Samson,4,1,HH Pandya,1,0,,1,1,0,0,Jaipur,2023-05-05,2023,T20,48,Rajasthan Royals vs Gujarat Titans
