inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Rajasthan Royals,1,YBK Jaiswal,0,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,1,0,B Kumar,0,0,,0,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,2,0,B Kumar,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,3,0,B Kumar,1,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,4,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,5,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,6,0,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,0,1,Fazalhaq Farooqi,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,1,1,Fazalhaq Farooqi,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,2,1,Fazalhaq Farooqi,3,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,3,1,Fazalhaq Farooqi,3,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,4,1,Fazalhaq Farooqi,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,5,1,Fazalhaq Farooqi,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,0,2,B Kumar,6,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,1,2,B Kumar,2,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,2,2,B Kumar,1,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,3,2,B Kumar,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,4,2,B Kumar,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,5,2,B Kumar,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,0,3,Washington Sundar,6,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,1,3,Washington Sundar,6,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,2,3,Washington Sundar,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,3,3,Washington Sundar,1,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,4,3,Washington Sundar,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,5,3,Washington Sundar,2,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,0,4,T Natarajan,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,1,4,T Natarajan,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,2,4,T Natarajan,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,3,4,T Natarajan,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,4,4,T Natarajan,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,5,4,T Natarajan,1,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,0,5,Fazalhaq Farooqi,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,1,5,Fazalhaq Farooqi,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,2,5,Fazalhaq Farooqi,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,3,5,Fazalhaq Farooqi,4,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,2,JC Buttler,4,5,Fazalhaq Farooqi,0,1,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,3,SV Samson,5,5,Fazalhaq Farooqi,0,0,,1,1,0,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,0,6,AU Rashid,2,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,1,6,AU Rashid,0,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,2,6,AU Rashid,0,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,3,6,AU Rashid,1,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,3,SV Samson,4,6,AU Rashid,1,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,5,6,AU Rashid,4,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,3,SV Samson,0,7,Umran Malik,1,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,1,7,Umran Malik,1,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,3,SV Samson,2,7,Umran Malik,4,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,3,SV Samson,3,7,Umran Malik,4,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,3,SV Samson,4,7,Umran Malik,1,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,5,7,Umran Malik,1,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,0,8,AU Rashid,0,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,1,YBK Jaiswal,1,8,AU Rashid,1,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,3,SV Samson,2,8,AU Rashid,0,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
1,Rajasthan Royals,3,SV Samson,3,8,AU Rashid,2,0,,1,0,1,0,Hyderabad,2023-04-02,2023,T20,4,Rajasthan Royals vs Sunrisers Hyderabad
