inn,bat_tm,batnum,bat,ball,over_num,bow,runs,wkt,wkt_how,b.cnt,f.ov.powp,f.ov.midd,f.ov.deat,m.grnd,m.date,ss,m.type,m.num,m.vs
1,Punjab Kings,1,P Simran Singh,0,0,TA Boult,1,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,1,0,TA Boult,0,0,,0,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,2,0,TA Boult,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,3,0,TA Boult,4,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,4,0,TA Boult,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,5,0,TA Boult,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,6,0,TA Boult,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,0,1,KM Asif,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,1,1,KM Asif,2,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,2,1,KM Asif,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,3,1,KM Asif,1,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,4,1,KM Asif,6,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,5,1,KM Asif,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,0,2,TA Boult,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,1,2,TA Boult,4,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,2,2,TA Boult,4,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,3,2,TA Boult,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,4,2,TA Boult,1,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,5,2,TA Boult,1,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,0,3,KM Asif,4,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,1,3,KM Asif,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,2,3,KM Asif,4,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,3,3,KM Asif,6,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,4,3,KM Asif,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,5,3,KM Asif,0,0,,0,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,6,3,KM Asif,4,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,0,4,R Ashwin,1,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,1,4,R Ashwin,4,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,2,4,R Ashwin,4,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,3,4,R Ashwin,0,0,,0,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,4,4,R Ashwin,1,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,5,4,R Ashwin,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,6,4,R Ashwin,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,0,5,JO Holder,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,1,5,JO Holder,4,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,2,5,JO Holder,0,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,3,5,JO Holder,1,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,4,5,JO Holder,1,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,5,5,JO Holder,1,0,,1,1,0,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,0,6,R Ashwin,1,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,1,6,R Ashwin,0,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,2,6,R Ashwin,1,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,3,6,R Ashwin,1,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,4,6,R Ashwin,1,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,5,6,R Ashwin,1,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,0,7,YS Chahal,0,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,1,7,YS Chahal,2,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,2,7,YS Chahal,1,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,3,7,YS Chahal,0,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,4,7,YS Chahal,4,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,5,7,YS Chahal,2,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,0,8,TA Boult,6,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,1,8,TA Boult,1,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,2,8,TA Boult,1,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,1,P Simran Singh,3,8,TA Boult,1,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,4,8,TA Boult,0,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
1,Punjab Kings,2,S Dhawan,5,8,TA Boult,0,0,,1,0,1,0,Guwahati,2023-04-05,2023,T20,8,Punjab Kings vs Rajasthan Royals
