inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,AT Rayudu,1,12.0,0.0,1.0,1.0,12.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,BA Stokes,1,7.0,1.0,0.0,1.0,6.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,DP Conway,1,1.0,0.0,0.0,1.0,6.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,MJ Santner,1,1.0,0.0,0.0,0.0,3.0,2.0,32.0,24.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,MM Ali,1,23.0,4.0,1.0,1.0,16.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,MS Dhoni,1,14.0,1.0,1.0,0.0,7.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,RA Jadeja,1,1.0,0.0,0.0,1.0,2.0,2.0,28.0,24.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,RD Gaikwad,1,92.0,4.0,9.0,1.0,50.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,S Dube,1,19.0,0.0,1.0,1.0,18.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,RS Hangargekar,1,,,,,,2.0,32.0,24.0,3.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,TU Deshpande,1,,,,,,2.0,49.0,20.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
1,DL Chahar,1,,,,,,2.0,29.0,24.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Chennai Super Kings
2,Mohammed Shami,1,,,,,,1.0,28.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,J Little,1,,,,,,1.0,41.0,24.0,1.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,AS Joseph,1,,,,,,1.0,33.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,R Tewatia,1,15.0,1.0,1.0,0.0,14.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,V Shankar,1,27.0,2.0,1.0,1.0,21.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,Shubman Gill,1,63.0,6.0,3.0,1.0,36.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,Rashid Khan,1,10.0,1.0,1.0,0.0,3.0,1.0,26.0,24.0,2.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,HH Pandya,1,8.0,0.0,0.0,1.0,11.0,1.0,28.0,18.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,B Sai Sudharsan,1,22.0,3.0,0.0,1.0,16.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,WP Saha,1,25.0,2.0,2.0,1.0,15.0,,,,,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
2,Yash Dayal,1,,,,,,1.0,14.0,6.0,0.0,2023,T20,2023_03_31,Ahmedabad,Chennai Super Kings_v_Gujarat Titans,Gujarat Titans
