bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Punjab Kings,Kolkata Knight Riders,1,P Simran Singh,23.0,2.0,2.0,1.0,12.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
,,1,RD Chahar,,,,,,Punjab Kings,Kolkata Knight Riders,2.0,12.0,12.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
,,1,R Dhawan,,,,,,Punjab Kings,Kolkata Knight Riders,2.0,15.0,6.0,0.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
,,1,NT Ellis,,,,,,Punjab Kings,Kolkata Knight Riders,2.0,25.0,18.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
,,1,Harpreet Brar,,,,,,Punjab Kings,Kolkata Knight Riders,2.0,7.0,6.0,0.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
,,1,Arshdeep Singh,,,,,,Punjab Kings,Kolkata Knight Riders,2.0,19.0,18.0,3.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,1,Sikandar Raza,16.0,1.0,1.0,1.0,13.0,Punjab Kings,Kolkata Knight Riders,2.0,24.0,18.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,1,SM Curran,26.0,0.0,2.0,0.0,17.0,Punjab Kings,Kolkata Knight Riders,2.0,38.0,18.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,1,JM Sharma,21.0,1.0,2.0,1.0,11.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,1,M Shahrukh Khan,11.0,2.0,0.0,0.0,7.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,1,S Dhawan,40.0,6.0,0.0,1.0,28.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,1,PBB Rajapaksa,50.0,5.0,2.0,1.0,32.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
,,2,CV Varun,,,,,,Kolkata Knight Riders,Punjab Kings,1.0,25.0,24.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,2,AD Russell,35.0,3.0,2.0,1.0,18.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,2,VR Iyer,34.0,3.0,1.0,1.0,27.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,2,SP Narine,7.0,0.0,1.0,0.0,2.0,Kolkata Knight Riders,Punjab Kings,1.0,39.0,24.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,2,SN Thakur,8.0,0.0,1.0,0.0,3.0,Kolkata Knight Riders,Punjab Kings,1.0,42.0,24.0,0.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,2,Rahmanullah Gurbaz,22.0,3.0,1.0,1.0,16.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,2,RK Singh,4.0,0.0,0.0,1.0,4.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,2,N Rana,24.0,3.0,1.0,1.0,17.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,2,Mandeep Singh,2.0,0.0,0.0,1.0,4.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,2,AS Roy,4.0,1.0,0.0,1.0,5.0,,,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
,,2,TG Southee,,,,,,Kolkata Knight Riders,Punjab Kings,1.0,54.0,24.0,2.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
,,2,UT Yadav,,,,,,Kolkata Knight Riders,Punjab Kings,1.0,27.0,24.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders
