inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,P Simran Singh,2,23.0,2.0,2.0,1.0,12.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,RD Chahar,2,,,,,,2.0,12.0,12.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,R Dhawan,2,,,,,,2.0,15.0,6.0,0.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,NT Ellis,2,,,,,,2.0,25.0,18.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,Harpreet Brar,2,,,,,,2.0,7.0,6.0,0.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,Arshdeep Singh,2,,,,,,2.0,19.0,18.0,3.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,Sikandar Raza,2,16.0,1.0,1.0,1.0,13.0,2.0,24.0,18.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,SM Curran,2,26.0,0.0,2.0,0.0,17.0,2.0,38.0,18.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,JM Sharma,2,21.0,1.0,2.0,1.0,11.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,M Shahrukh Khan,2,11.0,2.0,0.0,0.0,7.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,S Dhawan,2,40.0,6.0,0.0,1.0,28.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
1,PBB Rajapaksa,2,50.0,5.0,2.0,1.0,32.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Punjab Kings
2,CV Varun,2,,,,,,1.0,25.0,24.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,AD Russell,2,35.0,3.0,2.0,1.0,18.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,VR Iyer,2,34.0,3.0,1.0,1.0,27.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,SP Narine,2,7.0,0.0,1.0,0.0,2.0,1.0,39.0,24.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,SN Thakur,2,8.0,0.0,1.0,0.0,3.0,1.0,42.0,24.0,0.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,Rahmanullah Gurbaz,2,22.0,3.0,1.0,1.0,16.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,RK Singh,2,4.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,N Rana,2,24.0,3.0,1.0,1.0,17.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,Mandeep Singh,2,2.0,0.0,0.0,1.0,4.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,AS Roy,2,4.0,1.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,TG Southee,2,,,,,,1.0,54.0,24.0,2.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
2,UT Yadav,2,,,,,,1.0,27.0,24.0,1.0,2023,T20,2023_04_01,Chandigarh,Punjab Kings_v_Kolkata Knight Riders,Kolkata Knight Riders
