bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Lucknow Super Giants,Delhi Capitals,1,A Badoni,18.0,1.0,2.0,1.0,7.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
,,1,JD Unadkat,,,,,,Lucknow Super Giants,Delhi Capitals,2.0,33.0,18.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
,,1,Avesh Khan,,,,,,Lucknow Super Giants,Delhi Capitals,2.0,29.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Lucknow Super Giants,Delhi Capitals,1,N Pooran,36.0,2.0,3.0,1.0,21.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Lucknow Super Giants,Delhi Capitals,1,MP Stoinis,12.0,0.0,1.0,1.0,10.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Lucknow Super Giants,Delhi Capitals,1,KR Mayers,73.0,2.0,7.0,1.0,38.0,Lucknow Super Giants,Delhi Capitals,2.0,6.0,6.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Lucknow Super Giants,Delhi Capitals,1,KL Rahul,8.0,0.0,1.0,1.0,12.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Lucknow Super Giants,Delhi Capitals,1,KH Pandya,15.0,0.0,1.0,0.0,13.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Lucknow Super Giants,Delhi Capitals,1,K Gowtham,6.0,0.0,1.0,0.0,1.0,Lucknow Super Giants,Delhi Capitals,2.0,22.0,24.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Lucknow Super Giants,Delhi Capitals,1,DJ Hooda,17.0,0.0,0.0,1.0,18.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
,,1,MA Wood,,,,,,Lucknow Super Giants,Delhi Capitals,2.0,12.0,24.0,5.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
,,1,Ravi Bishnoi,,,,,,Lucknow Super Giants,Delhi Capitals,2.0,31.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,RR Rossouw,30.0,3.0,1.0,1.0,20.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,R Powell,1.0,0.0,0.0,1.0,3.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,PP Shaw,12.0,2.0,0.0,1.0,9.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,Mukesh Kumar,0.0,0.0,0.0,0.0,1.0,Delhi Capitals,Lucknow Super Giants,1.0,33.0,24.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,MR Marsh,0.0,0.0,0.0,1.0,1.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,Kuldeep Yadav,6.0,0.0,0.0,0.0,10.0,Delhi Capitals,Lucknow Super Giants,1.0,35.0,24.0,1.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,DA Warner,56.0,7.0,0.0,1.0,48.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,C Sakariya,4.0,1.0,0.0,1.0,4.0,Delhi Capitals,Lucknow Super Giants,1.0,50.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,Aman Hakim Khan,4.0,0.0,0.0,1.0,5.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
,,2,KK Ahmed,,,,,,Delhi Capitals,Lucknow Super Giants,1.0,29.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,SN Khan,4.0,1.0,0.0,1.0,8.0,,,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
Delhi Capitals,Lucknow Super Giants,2,AR Patel,16.0,1.0,1.0,1.0,11.0,Delhi Capitals,Lucknow Super Giants,1.0,38.0,24.0,1.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals
