inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,A Badoni,3,18.0,1.0,2.0,1.0,7.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,JD Unadkat,3,,,,,,2.0,33.0,18.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,Avesh Khan,3,,,,,,2.0,29.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,N Pooran,3,36.0,2.0,3.0,1.0,21.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,MP Stoinis,3,12.0,0.0,1.0,1.0,10.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,KR Mayers,3,73.0,2.0,7.0,1.0,38.0,2.0,6.0,6.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,KL Rahul,3,8.0,0.0,1.0,1.0,12.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,KH Pandya,3,15.0,0.0,1.0,0.0,13.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,K Gowtham,3,6.0,0.0,1.0,0.0,1.0,2.0,22.0,24.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,DJ Hooda,3,17.0,0.0,0.0,1.0,18.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,MA Wood,3,,,,,,2.0,12.0,24.0,5.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
1,Ravi Bishnoi,3,,,,,,2.0,31.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Lucknow Super Giants
2,RR Rossouw,3,30.0,3.0,1.0,1.0,20.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,R Powell,3,1.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,PP Shaw,3,12.0,2.0,0.0,1.0,9.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,Mukesh Kumar,3,0.0,0.0,0.0,0.0,1.0,1.0,33.0,24.0,0.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,MR Marsh,3,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,Kuldeep Yadav,3,6.0,0.0,0.0,0.0,10.0,1.0,35.0,24.0,1.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,DA Warner,3,56.0,7.0,0.0,1.0,48.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,C Sakariya,3,4.0,1.0,0.0,1.0,4.0,1.0,50.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,Aman Hakim Khan,3,4.0,0.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,KK Ahmed,3,,,,,,1.0,29.0,24.0,2.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,SN Khan,3,4.0,1.0,0.0,1.0,8.0,,,,,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
2,AR Patel,3,16.0,1.0,1.0,1.0,11.0,1.0,38.0,24.0,1.0,2023,T20,2023_04_01,Lucknow,Lucknow Super Giants_v_Delhi Capitals,Delhi Capitals
