bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Rajasthan Royals,Sunrisers Hyderabad,1,D Padikkal,2.0,0.0,0.0,1.0,5.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
,,1,NA Saini,,,,,,Rajasthan Royals,Sunrisers Hyderabad,2.0,31.0,12.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
,,1,KM Asif,,,,,,Rajasthan Royals,Sunrisers Hyderabad,2.0,14.0,18.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
,,1,JO Holder,,,,,,Rajasthan Royals,Sunrisers Hyderabad,2.0,16.0,18.0,1.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
,,1,TA Boult,,,,,,Rajasthan Royals,Sunrisers Hyderabad,2.0,21.0,24.0,2.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Rajasthan Royals,Sunrisers Hyderabad,1,YBK Jaiswal,54.0,9.0,0.0,1.0,37.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
,,1,YS Chahal,,,,,,Rajasthan Royals,Sunrisers Hyderabad,2.0,17.0,24.0,4.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Rajasthan Royals,Sunrisers Hyderabad,1,JC Buttler,54.0,7.0,3.0,1.0,22.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Rajasthan Royals,Sunrisers Hyderabad,1,R Ashwin,1.0,0.0,0.0,0.0,2.0,Rajasthan Royals,Sunrisers Hyderabad,2.0,25.0,24.0,1.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Rajasthan Royals,Sunrisers Hyderabad,1,SO Hetmyer,22.0,1.0,1.0,0.0,16.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Rajasthan Royals,Sunrisers Hyderabad,1,R Parag,7.0,1.0,0.0,1.0,6.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Rajasthan Royals,Sunrisers Hyderabad,1,SV Samson,55.0,3.0,4.0,1.0,32.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,AU Rashid,18.0,1.0,1.0,1.0,12.0,Sunrisers Hyderabad,Rajasthan Royals,1.0,33.0,24.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
,,2,T Natarajan,,,,,,Sunrisers Hyderabad,Rajasthan Royals,1.0,23.0,18.0,2.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
,,2,Fazalhaq Farooqi,,,,,,Sunrisers Hyderabad,Rajasthan Royals,1.0,41.0,24.0,2.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,Washington Sundar,1.0,0.0,0.0,1.0,5.0,Sunrisers Hyderabad,Rajasthan Royals,1.0,32.0,18.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,Umran Malik,19.0,1.0,2.0,0.0,7.0,Sunrisers Hyderabad,Rajasthan Royals,1.0,31.0,18.0,1.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,MA Agarwal,27.0,3.0,0.0,1.0,23.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,HC Brook,13.0,1.0,0.0,1.0,21.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,B Kumar,6.0,0.0,0.0,1.0,10.0,Sunrisers Hyderabad,Rajasthan Royals,1.0,35.0,18.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,Abhishek Sharma,0.0,0.0,0.0,1.0,3.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,Abdul Samad,32.0,2.0,1.0,0.0,31.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,RA Tripathi,0.0,0.0,0.0,1.0,2.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,2,GD Phillips,8.0,0.0,1.0,1.0,6.0,,,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad
