inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,D Padikkal,4,2.0,0.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,NA Saini,4,,,,,,2.0,31.0,12.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,KM Asif,4,,,,,,2.0,14.0,18.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,JO Holder,4,,,,,,2.0,16.0,18.0,1.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,TA Boult,4,,,,,,2.0,21.0,24.0,2.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,YBK Jaiswal,4,54.0,9.0,0.0,1.0,37.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,YS Chahal,4,,,,,,2.0,17.0,24.0,4.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,JC Buttler,4,54.0,7.0,3.0,1.0,22.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,R Ashwin,4,1.0,0.0,0.0,0.0,2.0,2.0,25.0,24.0,1.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,SO Hetmyer,4,22.0,1.0,1.0,0.0,16.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,R Parag,4,7.0,1.0,0.0,1.0,6.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
1,SV Samson,4,55.0,3.0,4.0,1.0,32.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Rajasthan Royals
2,AU Rashid,4,18.0,1.0,1.0,1.0,12.0,1.0,33.0,24.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,T Natarajan,4,,,,,,1.0,23.0,18.0,2.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,Fazalhaq Farooqi,4,,,,,,1.0,41.0,24.0,2.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,Washington Sundar,4,1.0,0.0,0.0,1.0,5.0,1.0,32.0,18.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,Umran Malik,4,19.0,1.0,2.0,0.0,7.0,1.0,31.0,18.0,1.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,MA Agarwal,4,27.0,3.0,0.0,1.0,23.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,HC Brook,4,13.0,1.0,0.0,1.0,21.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,B Kumar,4,6.0,0.0,0.0,1.0,10.0,1.0,35.0,18.0,0.0,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,Abhishek Sharma,4,0.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,Abdul Samad,4,32.0,2.0,1.0,0.0,31.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,RA Tripathi,4,0.0,0.0,0.0,1.0,2.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
2,GD Phillips,4,8.0,0.0,1.0,1.0,6.0,,,,,2023,T20,2023_04_02,Hyderabad,Rajasthan Royals_v_Sunrisers Hyderabad,Sunrisers Hyderabad
