bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Mumbai Indians,Royal Challengers Bangalore,1,Arshad Khan,15.0,0.0,1.0,0.0,9.0,Mumbai Indians,Royal Challengers Bangalore,2.0,24.0,14.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,1,C Green,5.0,1.0,0.0,1.0,4.0,Mumbai Indians,Royal Challengers Bangalore,2.0,30.0,12.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,1,HR Shokeen,5.0,1.0,0.0,1.0,3.0,Mumbai Indians,Royal Challengers Bangalore,2.0,17.0,6.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,1,Ishan Kishan,10.0,2.0,0.0,1.0,13.0,,,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,1,N Wadhera,21.0,1.0,2.0,1.0,13.0,,,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,1,RG Sharma,1.0,0.0,0.0,1.0,10.0,,,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,1,SA Yadav,15.0,1.0,0.0,1.0,16.0,,,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,1,TH David,4.0,0.0,0.0,1.0,7.0,,,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,1,Tilak Varma,84.0,9.0,4.0,0.0,45.0,,,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
,,1,PP Chawla,,,,,,Mumbai Indians,Royal Challengers Bangalore,2.0,26.0,24.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
,,1,JP Behrendorff,,,,,,Mumbai Indians,Royal Challengers Bangalore,2.0,37.0,18.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
,,1,JC Archer,,,,,,Mumbai Indians,Royal Challengers Bangalore,2.0,33.0,24.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
,,2,Mohammed Siraj,,,,,,Royal Challengers Bangalore,Mumbai Indians,1.0,15.0,24.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
,,2,MG Bracewell,,,,,,Royal Challengers Bangalore,Mumbai Indians,1.0,16.0,12.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
,,2,KV Sharma,,,,,,Royal Challengers Bangalore,Mumbai Indians,1.0,31.0,24.0,2.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Royal Challengers Bangalore,Mumbai Indians,2,GJ Maxwell,12.0,0.0,2.0,0.0,3.0,Royal Challengers Bangalore,Mumbai Indians,1.0,15.0,6.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
,,2,Akash Deep,,,,,,Royal Challengers Bangalore,Mumbai Indians,1.0,29.0,18.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Royal Challengers Bangalore,Mumbai Indians,2,V Kohli,82.0,6.0,5.0,0.0,49.0,,,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Royal Challengers Bangalore,Mumbai Indians,2,KD Karthik,0.0,0.0,0.0,1.0,3.0,,,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
Royal Challengers Bangalore,Mumbai Indians,2,F du Plessis,73.0,5.0,6.0,1.0,43.0,,,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
,,2,HV Patel,,,,,,Royal Challengers Bangalore,Mumbai Indians,1.0,40.0,24.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
,,2,RJW Topley,,,,,,Royal Challengers Bangalore,Mumbai Indians,1.0,14.0,12.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore
