inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,Arshad Khan,5,15.0,0.0,1.0,0.0,9.0,2.0,24.0,14.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,C Green,5,5.0,1.0,0.0,1.0,4.0,2.0,30.0,12.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,HR Shokeen,5,5.0,1.0,0.0,1.0,3.0,2.0,17.0,6.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,Ishan Kishan,5,10.0,2.0,0.0,1.0,13.0,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,N Wadhera,5,21.0,1.0,2.0,1.0,13.0,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,RG Sharma,5,1.0,0.0,0.0,1.0,10.0,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,SA Yadav,5,15.0,1.0,0.0,1.0,16.0,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,TH David,5,4.0,0.0,0.0,1.0,7.0,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,Tilak Varma,5,84.0,9.0,4.0,0.0,45.0,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,PP Chawla,5,,,,,,2.0,26.0,24.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,JP Behrendorff,5,,,,,,2.0,37.0,18.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
1,JC Archer,5,,,,,,2.0,33.0,24.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Mumbai Indians
2,Mohammed Siraj,5,,,,,,1.0,15.0,24.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,MG Bracewell,5,,,,,,1.0,16.0,12.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,KV Sharma,5,,,,,,1.0,31.0,24.0,2.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,GJ Maxwell,5,12.0,0.0,2.0,0.0,3.0,1.0,15.0,6.0,0.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,Akash Deep,5,,,,,,1.0,29.0,18.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,V Kohli,5,82.0,6.0,5.0,0.0,49.0,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,KD Karthik,5,0.0,0.0,0.0,1.0,3.0,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,F du Plessis,5,73.0,5.0,6.0,1.0,43.0,,,,,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,HV Patel,5,,,,,,1.0,40.0,24.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
2,RJW Topley,5,,,,,,1.0,14.0,12.0,1.0,2023,T20,2023_04_02,Bengaluru,Mumbai Indians_v_Royal Challengers Bangalore,Royal Challengers Bangalore
