inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,AT Rayudu,6,27.0,2.0,2.0,0.0,14.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,BA Stokes,6,8.0,1.0,0.0,1.0,8.0,2.0,18.0,6.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,DP Conway,6,47.0,5.0,2.0,1.0,28.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,MJ Santner,6,1.0,0.0,0.0,0.0,1.0,2.0,21.0,24.0,1.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,MM Ali,6,19.0,3.0,0.0,1.0,13.0,2.0,25.0,24.0,4.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,MS Dhoni,6,12.0,0.0,2.0,1.0,3.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,RA Jadeja,6,3.0,0.0,0.0,1.0,6.0,2.0,14.0,6.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,RD Gaikwad,6,57.0,3.0,4.0,1.0,31.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,S Dube,6,27.0,1.0,3.0,1.0,16.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,RS Hangargekar,6,,,,,,2.0,21.0,12.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,TU Deshpande,6,,,,,,2.0,38.0,24.0,2.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
1,DL Chahar,6,,,,,,2.0,50.0,24.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Chennai Super Kings
2,Ravi Bishnoi,6,,,,,,1.0,27.0,24.0,3.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,Avesh Khan,6,,,,,,1.0,34.0,18.0,1.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,N Pooran,6,32.0,2.0,3.0,1.0,18.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,MP Stoinis,6,21.0,0.0,1.0,1.0,18.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,K Gowtham,6,17.0,0.0,1.0,0.0,10.0,1.0,20.0,6.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,KR Mayers,6,53.0,8.0,2.0,1.0,20.0,1.0,15.0,12.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,KL Rahul,6,20.0,2.0,0.0,1.0,18.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,KH Pandya,6,9.0,0.0,1.0,1.0,9.0,1.0,21.0,12.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,DJ Hooda,6,2.0,0.0,0.0,1.0,6.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,A Badoni,6,23.0,0.0,0.0,1.0,18.0,,,,,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,MA Wood,6,10.0,1.0,1.0,0.0,3.0,1.0,49.0,24.0,3.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
2,Yash Thakur,6,,,,,,1.0,35.0,24.0,0.0,2023,T20,2023_04_03,Chennai,Chennai Super Kings_v_Lucknow Super Giants,Lucknow Super Giants
