bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Delhi Capitals,Gujarat Titans,1,A Nortje,4.0,1.0,0.0,0.0,2.0,Delhi Capitals,Gujarat Titans,2.0,37.0,24.0,2.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Delhi Capitals,Gujarat Titans,1,AR Patel,36.0,2.0,3.0,1.0,22.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Delhi Capitals,Gujarat Titans,1,Abishek Porel,20.0,0.0,2.0,1.0,11.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Delhi Capitals,Gujarat Titans,1,Aman Hakim Khan,8.0,0.0,1.0,1.0,8.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Delhi Capitals,Gujarat Titans,1,DA Warner,37.0,7.0,0.0,1.0,32.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Delhi Capitals,Gujarat Titans,1,Kuldeep Yadav,1.0,0.0,0.0,0.0,1.0,Delhi Capitals,Gujarat Titans,2.0,17.0,18.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Delhi Capitals,Gujarat Titans,1,MR Marsh,4.0,1.0,0.0,1.0,4.0,Delhi Capitals,Gujarat Titans,2.0,23.0,19.0,1.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Delhi Capitals,Gujarat Titans,1,PP Shaw,7.0,1.0,0.0,1.0,5.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Delhi Capitals,Gujarat Titans,1,RR Rossouw,0.0,0.0,0.0,1.0,1.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Delhi Capitals,Gujarat Titans,1,SN Khan,30.0,2.0,0.0,1.0,34.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
,,1,Mukesh Kumar,,,,,,Delhi Capitals,Gujarat Titans,2.0,41.0,24.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
,,1,KK Ahmed,,,,,,Delhi Capitals,Gujarat Titans,2.0,37.0,24.0,1.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
,,2,Mohammed Shami,,,,,,Gujarat Titans,Delhi Capitals,1.0,31.0,24.0,3.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
,,2,J Little,,,,,,Gujarat Titans,Delhi Capitals,1.0,27.0,24.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
,,2,AS Joseph,,,,,,Gujarat Titans,Delhi Capitals,1.0,28.0,24.0,2.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Gujarat Titans,Delhi Capitals,2,DA Miller,31.0,2.0,2.0,0.0,16.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Gujarat Titans,Delhi Capitals,2,V Shankar,29.0,3.0,0.0,1.0,23.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Gujarat Titans,Delhi Capitals,2,Shubman Gill,14.0,3.0,0.0,1.0,12.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Gujarat Titans,Delhi Capitals,2,HH Pandya,5.0,1.0,0.0,1.0,3.0,Gujarat Titans,Delhi Capitals,1.0,18.0,18.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
,,2,Rashid Khan,,,,,,Gujarat Titans,Delhi Capitals,1.0,31.0,24.0,3.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Gujarat Titans,Delhi Capitals,2,B Sai Sudharsan,62.0,4.0,2.0,0.0,48.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
Gujarat Titans,Delhi Capitals,2,WP Saha,14.0,2.0,1.0,1.0,7.0,,,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
,,2,Yash Dayal,,,,,,Gujarat Titans,Delhi Capitals,1.0,12.0,6.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans
