inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,A Nortje,7,4.0,1.0,0.0,0.0,2.0,2.0,37.0,24.0,2.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,AR Patel,7,36.0,2.0,3.0,1.0,22.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,Abishek Porel,7,20.0,0.0,2.0,1.0,11.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,Aman Hakim Khan,7,8.0,0.0,1.0,1.0,8.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,DA Warner,7,37.0,7.0,0.0,1.0,32.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,Kuldeep Yadav,7,1.0,0.0,0.0,0.0,1.0,2.0,17.0,18.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,MR Marsh,7,4.0,1.0,0.0,1.0,4.0,2.0,23.0,19.0,1.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,PP Shaw,7,7.0,1.0,0.0,1.0,5.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,RR Rossouw,7,0.0,0.0,0.0,1.0,1.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,SN Khan,7,30.0,2.0,0.0,1.0,34.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,Mukesh Kumar,7,,,,,,2.0,41.0,24.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
1,KK Ahmed,7,,,,,,2.0,37.0,24.0,1.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Delhi Capitals
2,Mohammed Shami,7,,,,,,1.0,31.0,24.0,3.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,J Little,7,,,,,,1.0,27.0,24.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,AS Joseph,7,,,,,,1.0,28.0,24.0,2.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,DA Miller,7,31.0,2.0,2.0,0.0,16.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,V Shankar,7,29.0,3.0,0.0,1.0,23.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,Shubman Gill,7,14.0,3.0,0.0,1.0,12.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,HH Pandya,7,5.0,1.0,0.0,1.0,3.0,1.0,18.0,18.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,Rashid Khan,7,,,,,,1.0,31.0,24.0,3.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,B Sai Sudharsan,7,62.0,4.0,2.0,0.0,48.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,WP Saha,7,14.0,2.0,1.0,1.0,7.0,,,,,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
2,Yash Dayal,7,,,,,,1.0,12.0,6.0,0.0,2023,T20,2023_04_04,Delhi,Delhi Capitals_v_Gujarat Titans,Gujarat Titans
