bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Punjab Kings,Rajasthan Royals,1,JM Sharma,27.0,2.0,1.0,1.0,16.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Punjab Kings,Rajasthan Royals,1,M Shahrukh Khan,11.0,1.0,0.0,1.0,9.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Punjab Kings,Rajasthan Royals,1,P Simran Singh,60.0,7.0,3.0,1.0,34.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Punjab Kings,Rajasthan Royals,1,PBB Rajapaksa,1.0,0.0,0.0,0.0,1.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Punjab Kings,Rajasthan Royals,1,S Dhawan,86.0,9.0,3.0,1.0,56.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Punjab Kings,Rajasthan Royals,1,SM Curran,1.0,0.0,0.0,0.0,2.0,Punjab Kings,Rajasthan Royals,2.0,44.0,24.0,1.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Punjab Kings,Rajasthan Royals,1,Sikandar Raza,1.0,0.0,0.0,1.0,2.0,Punjab Kings,Rajasthan Royals,2.0,18.0,12.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
,,1,RD Chahar,,,,,,Punjab Kings,Rajasthan Royals,2.0,31.0,24.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
,,1,NT Ellis,,,,,,Punjab Kings,Rajasthan Royals,2.0,30.0,24.0,4.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
,,1,Harpreet Brar,,,,,,Punjab Kings,Rajasthan Royals,2.0,15.0,12.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
,,1,Arshdeep Singh,,,,,,Punjab Kings,Rajasthan Royals,2.0,44.0,24.0,2.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
,,2,KM Asif,,,,,,Rajasthan Royals,Punjab Kings,1.0,49.0,24.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Rajasthan Royals,Punjab Kings,2,YBK Jaiswal,11.0,1.0,1.0,1.0,8.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Rajasthan Royals,Punjab Kings,2,SV Samson,42.0,5.0,1.0,1.0,25.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Rajasthan Royals,Punjab Kings,2,R Ashwin,0.0,0.0,0.0,1.0,4.0,Rajasthan Royals,Punjab Kings,1.0,24.0,24.0,2.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Rajasthan Royals,Punjab Kings,2,R Parag,20.0,1.0,2.0,1.0,12.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
,,2,TA Boult,,,,,,Rajasthan Royals,Punjab Kings,1.0,36.0,24.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Rajasthan Royals,Punjab Kings,2,JO Holder,1.0,0.0,0.0,0.0,1.0,Rajasthan Royals,Punjab Kings,1.0,29.0,24.0,2.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Rajasthan Royals,Punjab Kings,2,JC Buttler,19.0,1.0,1.0,1.0,11.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Rajasthan Royals,Punjab Kings,2,Dhruv Jurel,32.0,3.0,2.0,0.0,15.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Rajasthan Royals,Punjab Kings,2,D Padikkal,21.0,1.0,0.0,1.0,26.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
Rajasthan Royals,Punjab Kings,2,SO Hetmyer,36.0,1.0,3.0,1.0,18.0,,,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
,,2,YS Chahal,,,,,,Rajasthan Royals,Punjab Kings,1.0,49.0,24.0,1.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals
