inn_bat,name,mnum,rs,four,six,out,bowf,inn_bow,rc,balb,wkt,season,type,date,city,teams,team_nm
1,JM Sharma,8,27.0,2.0,1.0,1.0,16.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,M Shahrukh Khan,8,11.0,1.0,0.0,1.0,9.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,P Simran Singh,8,60.0,7.0,3.0,1.0,34.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,PBB Rajapaksa,8,1.0,0.0,0.0,0.0,1.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,S Dhawan,8,86.0,9.0,3.0,1.0,56.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,SM Curran,8,1.0,0.0,0.0,0.0,2.0,2.0,44.0,24.0,1.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,Sikandar Raza,8,1.0,0.0,0.0,1.0,2.0,2.0,18.0,12.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,RD Chahar,8,,,,,,2.0,31.0,24.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,NT Ellis,8,,,,,,2.0,30.0,24.0,4.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,Harpreet Brar,8,,,,,,2.0,15.0,12.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
1,Arshdeep Singh,8,,,,,,2.0,44.0,24.0,2.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Punjab Kings
2,KM Asif,8,,,,,,1.0,49.0,24.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,YBK Jaiswal,8,11.0,1.0,1.0,1.0,8.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,SV Samson,8,42.0,5.0,1.0,1.0,25.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,R Ashwin,8,0.0,0.0,0.0,1.0,4.0,1.0,24.0,24.0,2.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,R Parag,8,20.0,1.0,2.0,1.0,12.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,TA Boult,8,,,,,,1.0,36.0,24.0,0.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,JO Holder,8,1.0,0.0,0.0,0.0,1.0,1.0,29.0,24.0,2.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,JC Buttler,8,19.0,1.0,1.0,1.0,11.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,Dhruv Jurel,8,32.0,3.0,2.0,0.0,15.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,D Padikkal,8,21.0,1.0,0.0,1.0,26.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,SO Hetmyer,8,36.0,1.0,3.0,1.0,18.0,,,,,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
2,YS Chahal,8,,,,,,1.0,49.0,24.0,1.0,2023,T20,2023_04_05,Guwahati,Punjab Kings_v_Rajasthan Royals,Rajasthan Royals
