bat_tm_inn1,bow_tm_inn1,inn_bat,name,rs,four,six,out,bowf,bow_tm_inn2,bat_tm_inn2,inn_bow,rc,balb,wkt,season,type,date,city,teams
Kolkata Knight Riders,Royal Challengers Bangalore,1,AD Russell,0.0,0.0,0.0,1.0,1.0,,,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
,,1,CV Varun,,,,,,Kolkata Knight Riders,Royal Challengers Bangalore,2.0,15.0,22.0,4.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
,,1,Suyash Sharma,,,,,,Kolkata Knight Riders,Royal Challengers Bangalore,2.0,29.0,24.0,3.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,VR Iyer,3.0,0.0,0.0,1.0,7.0,,,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,UT Yadav,6.0,1.0,0.0,0.0,2.0,Kolkata Knight Riders,Royal Challengers Bangalore,2.0,17.0,12.0,0.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,SP Narine,0.0,0.0,0.0,0.0,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,2.0,16.0,24.0,2.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
,,1,TG Southee,,,,,,Kolkata Knight Riders,Royal Challengers Bangalore,2.0,25.0,12.0,0.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,Rahmanullah Gurbaz,57.0,6.0,3.0,1.0,43.0,,,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,RK Singh,46.0,2.0,3.0,1.0,31.0,,,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,Mandeep Singh,0.0,0.0,0.0,1.0,1.0,,,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,N Rana,1.0,0.0,0.0,1.0,5.0,,,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,SN Thakur,68.0,9.0,3.0,1.0,29.0,Kolkata Knight Riders,Royal Challengers Bangalore,2.0,15.0,12.0,1.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
,,2,Mohammed Siraj,,,,,,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,36.0,24.0,1.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,2,V Kohli,21.0,3.0,0.0,1.0,18.0,,,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,2,Shahbaz Ahmed,1.0,0.0,0.0,1.0,5.0,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,6.0,6.0,0.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,2,MG Bracewell,19.0,1.0,1.0,1.0,18.0,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,34.0,18.0,1.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,2,KD Karthik,9.0,1.0,0.0,1.0,8.0,,,,,,,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,2,HV Patel,0.0,0.0,0.0,1.0,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,37.0,18.0,1.0,2023,T20,2023_04_06,Kolkata,Kolkata Knight Riders_v_Royal Challengers Bangalore
